Name of outlet,Outlet URL
07030 Hoboken,https://hudsonreporter.com/category/issues/07030-hoboken-issue/
201,http://www.201magazine.com/#201magazine
24 Horas (Portuguese),https://24horasnewspaper.com/
ABS-CBN News (The Filipino Channel),https://balitangamerica.tv/
AC Primetime,https://acprimetime.com/atlantic-city-primetime-news/
"Acorn, The (Drew)",https://www.thedrewacorn.com/
"Advertiser News - North, The",http://advertisernewsnorth.com
"Advertiser News - South, The",http://advertisernewssouth.com
"African Sun Times, The",http://africansuntimes.com/
AfroPhilly.com,http://www.afrophilly.com/
Ahora,http://www.ahoranews.net
Al Dia,http://aldianews.com
All Around Pennsauken,http://allaroundpennsauken.com
Amandla,http://amandlanews.com
"Amboy Guardian, The",http://www.amboyguardian.com/
America Oggi (Italian),http://www.americaoggi.info
Amerikai Nepszava,https://nepszava.us
Americano,https://americanonewspaper.com/
Anointed News Journal,http://www.anointedonline.net/
Arab Voice,http://arabvoice.com/
"Argo, The ",http://www.stocktonargo.com
Asbury Park Press,http://www.app.com/
Asbury Park Sun,http://asburyparksun.com/
"Asian Journal, The",http://asianjournal.com
Atlantic Highlands Herald,http://www.ahherald.com/
"Atlantic Hub, The",http://www.centraljersey.com/news/atlantichub/
Bangla Patrika,http://www.banglapatrikausa.com/
Baristanet,https://baristanet.com
"Bayonne, Life on the Peninsula",https://hudsonreporter.com/category/issues/bayonne-life-on-the-peninsula-issue/
"Beacon, The (of William Paterson University)",http://www.wpubeacon.com
"Bergenfield, Dumont, & New Milford Daily Voice",https://dailyvoice.com/new-jersey/bergenfield
Berkeley Heights Community News,https://rennamedia.com/publications/berkeley-heights-community-news/
"Berlin Sun, The",https://thesunpapers.com/berlin-sun/
"Bernardsville News, The",http://www.newjerseyhills.com/bernardsville_news/
Black River News,https://www.mypaperonline.com/category/black-river-news
Blogfinger,https://blogfinger.net
Blue Jersey,http://www.bluejersey.com/
Bordentown Current,https://communitynews.org/bordentown-current/
"Brasilians, The",http://www.thebrasilians.com
Brazilian Press,http://www.brazilianpress.com
Brazilian Voice,http://www.brazilianvoice.com/category/bv_noticias/local
Brick City Live,https://brickcitylive.com
Brick Shorebeat,http://brick.shorebeat.com
Brigatine Now,https://brigantinenow.com/
"Brigatine Times, The",http://www.brigantinetimes.com/index.php
Burlington County Times,http://www.burlingtoncountytimes.com/
"Burlington Township Sun, The",https://burlingtontownshipsun.com/
Caldwell Life,https://www.mypaperonline.com/category/caldwell-news
Campus Press,https://www.camdencc.edu/student_life/campus-press/
Cape May County Herald,http://www.capemaycountyherald.com/
Cape May Star and Wave,http://www.starandwave.com
"Catholic Advocate, The",https://www.rcan.org/the-catholic-advocate
"Catholic Spirit, The",http://www.catholicspirit.com/
Catholic Star Herald,http://www.catholicstarherald.org
"Central Record, The",http://www.medfordcentralrecord.com
CentralJersey.com,http://www.centraljersey.com/
Chatham Courier,http://www.newjerseyhills.com/chatham_courier/
"Chathams, The",https://rennamedia.com/publications/the-chathams/
"Cherry Hill Sun, The",https://cherryhillsun.com/
"China Press, The",http://www.uschinapress.com
Chinese American News,http://www.new-new.com/about.asp
"Cinnaminson Sun, The",https://cinnaminsonsun.com/
"Citizen (of Morris County), The",http://www.newjerseyhills.com/the_citizen/
CivicStory,https://www.civicstory.org
Clark Monthly,https://rennamedia.com/publications/clark-monthly/
Cliffside Park-Edgewater Daily Voice,https://dailyvoice.com/new-jersey/cliffsidepark/
CNBnews.net,https://www.gloucestercitynews.net/clearysnotebook/gloucester_city_news/
"Coast Star, The & Ocean Star",https://starnewsgroup.com/
"Coaster, The",http://thecoaster.net/wordpress/
Community News,https://communitynews.org/
County Watchers,https://countywatchers.wordpress.com/
Courier News,http://www.mycentraljersey.com/news/courier-news/
"Courier Post, The",https://www.courierpostonline.com/
Cranbury Press,http://www.centraljersey.com/news/the_cranbury_press/
Cranford Monthly,https://rennamedia.com/publications/cranford-monthly/
Cranford Radio,https://cranfordradio.wordpress.com
Cresskill-Closter Daily Voice,https://dailyvoice.com/new-jersey/cresskill
"Criterion Sentinel, The",http://www.centraljersey.com/news/sentinel_edison_metuchen/
"Current of Egg Harbor Township, The",https://www.pressofatlanticcity.com/currents_gazettes/egg_harbor_township/
"Current of Galloway, Egg Harbor City & Port Republic, The",https://www.pressofatlanticcity.com/currents_gazettes/galloway_township/
"Current of Linwood, Nortthfield, & Somers Point, The",https://www.pressofatlanticcity.com/currents_gazettes/mainland/
"Current of Mays Landing & Township of Hamilton, The",https://www.pressofatlanticcity.com/currents_gazettes/hamilton_township/
"Current of Pleasantville & Absecon, The",https://www.pressofatlanticcity.com/currents_gazettes/pleasantville_absecon/
"Current of Ventnor, Margate & Longport, The",https://www.pressofatlanticcity.com/currents_gazettes/downbeach/
"Currents & Gazettes of Atlantic & Cape May Counties, The",https://www.pressofatlanticcity.com/currents_gazettes/site/
Daily Journal,http://www.thedailyjournal.com/
"Daily Princetonian, The",http://www.dailyprincetonian.com
Daily Record,http://www.dailyrecord.com/
"Daily Targum, The (Rutgers)",http://www.dailytargum.com
Dirt magazine,http://www.dirt-mag.com/
Divya Bhaskar,https://www.divyabhaskar.co.in
Downbeach Buzz,https://downbeachbuzz.com/
Dunellen 411,http://www.dunellen411.com/
