GPE,Latitude,Longitude,group_ID,sum,distance
Central Warrnambool,-38.3720954,142.4777782,8,1,0.0
South Warrnambool,-38.3720954,142.4777782,8,1,0.0
Hotel Warrnambool,-38.3720954,142.4777782,8,1,0.0
East Warrnambool,-38.3720954,142.4777782,8,1,0.0
South West Healthcare,-38.3801373,142.473434,7,1,0.6027547767121487
Lava Street,-38.3817814,142.4849584,6,1,0.773516382843325
Koroit,-38.2921758,142.3673185,10,1,8.148669991307628
Terang Mortlake 9,-38.2404416,142.9108851,11,1,25.229612493501502
Kolora,-38.1380254,142.9259307,15,1,29.23555063287629
Corangamite Shire,-38.1491105,143.1319209,14,1,38.756334199426334
Glenthompson,-37.6367776,142.5477626,25,1,50.858521975987884
Pigeon Ponds,-37.2979115,141.6709392,28,1,86.23250712962556
Lake Wendouree,-37.5528276,143.8332407,27,1,93.11552846907581
Ballarat,-37.5621587,143.8502556,26,1,93.46588002148391
Geelong,-38.1492994,144.3598426,13,1,103.49713863771937
Kyneton,-37.2490932,144.4532075,29,1,132.9675354310869
South Melbourne,-37.8343443,144.9559035,21,1,140.05269229809508
Parkville,-37.7787036,144.9426083,24,1,140.47266107014528
Beach Oval,-37.9455911,145.0007827,20,1,140.50808576675814
Bendigo,-36.7596196,144.2785764,31,1,148.78572636494147
Scott Creek,-35.0565609,138.7080325,39,1,309.8837684299555
Adelaide Hills,-34.9062557,138.8397403,41,1,312.9627030861466
Port Adelaide,-34.8442994,138.505369,42,1,328.4698268196001
Kangaroo Island,-35.7752426,137.2142417,36,1,341.4619603058236
Clare Valley,-33.8335699,138.61,48,1,380.3739357095
Broken Hill,-31.9595859,141.4608138,54,1,445.7849856405516
Berry,-34.7757734,150.6988896,43,1,519.8474787921481
New South Wales,-31.2532183,146.921099,57,1,551.7403066083069
Manly Beach,-33.7931501,151.2876488,50,1,585.043679233572
Terrey Hills,-33.6832036,151.2254937,51,1,586.5384914247824
South Australia,-30.0002315,136.2091547,58,1,679.2041312544317
Victoria Park,-27.4553219,153.0247254,61,1,968.9698346063512
Sunreef Mooloolaba,-26.6835329,153.122156,62,1,1015.6520942383363
Mooloolaba Beach,-26.6809437,153.121665,63,1,1015.7809403230076
Maroochydore Beach,-26.65447,153.1036287,64,1,1016.6396205313723
Australia,-25.274398,133.775136,67,2,1036.293173183208
Hunters Australia,-25.274398,133.775136,67,1,1036.293173183208
Howe Island,-31.5553263,159.0821211,56,1,1050.745847580226
Rainbow Beach,-25.9045007,153.0897222,66,1,1058.9685265019987
Te Mania,-41.3324394,173.1606394,2,1,1635.680479610817
New Zealand,-40.900557,174.885971,4,2,1727.56197345377
Papua New Guinea,-6.314993,143.95555,72,1,2208.12257122302
New Guinea,-5.0122202,141.3470159,75,1,2296.7981796653376
Torokina,-6.2448035,155.0419034,73,1,2347.211158879449
Bougainville,-6.053602,155.1907309,74,1,2362.8567210432197
Raung 58,-8.1258333,114.0458333,71,1,2733.45298770921
Singapore,1.352083,103.819836,77,1,3677.618293786768
L. Jersey,1.5252662,103.6610018,78,1,3693.752331211203
Nha Trang,12.2529152,109.1899018,83,1,4093.97949779353
Hong Kong,22.3193039,114.1693611,96,1,4560.943855384017
Hiroshima,34.3852894,132.4553055,129,1,5046.431139170341
Tokyo,35.6761919,139.6503106,133,1,5097.474162441172
Japan,36.204824,138.252924,137,1,5137.815707749802
Bangladesh,23.684994,90.356331,98,1,5443.569267236561
Los Angeles,12.9088834,74.9938573,87,1,5601.244793049259
Bhutan,27.514162,90.433601,103,1,5645.345382080279
China,35.86166,104.195397,135,1,5663.736717977446
India,20.593684,78.96288,93,1,5777.435395352121
The Palm Springs,28.4472647,77.1007152,105,1,6241.015474898414
Afghanistan,33.93911,67.709953,124,1,6906.898844429729
Kazakh,48.019573,66.923684,192,1,7538.981079493384
Kodiak,57.79,-152.4072222,238,1,7615.027664018479
Khartoum,15.5006544,32.5598994,88,1,7949.330706928381
San Francisco,37.7749295,-122.4194155,145,1,7994.018717304041
Crescent City,41.7557501,-124.2025913,168,1,8045.25752015422
Hollywood,34.0928092,-118.3286614,127,1,8067.754718417693
Los Angeles,34.0522342,-118.2436849,126,2,8070.605037097171
San Diego,32.715738,-117.1610838,117,1,8079.186457422586
Orange County,33.7174708,-117.8311428,119,1,8079.788957357539
California,36.778261,-119.4179324,138,1,8104.69991723787
Palm Spring,33.8302961,-116.5452921,123,3,8148.070142287013
Palm Springs City Hall,33.824045,-116.5114939,122,1,8149.557524130126
Rancho Mirage,33.739744,-116.41279,121,1,8151.68487394624
Palm Desert,33.7210509,-116.3760455,120,1,8152.9042533199345
Puerto Vallarta,20.653407,-105.2253316,94,1,8278.497695280825
West Victoria,48.433684,-123.38718,196,1,8290.098791445407
Las Vegas,36.171563,-115.1391009,136,1,8294.932662902533
Las!,36.171563,-115.1391009,136,1,8294.932662902533
Marysville,48.0517637,-122.1770818,193,1,8329.669109455177
Phoenix,33.4483771,-112.0740373,118,1,8361.933768175752
Israel,31.046051,34.851612,112,1,8395.972875741752
West Bank,31.9465703,35.3027226,114,1,8402.05114633987
Mexico,23.634501,-102.552784,97,1,8532.913762364451
New Ega,30.0505753,31.245891,109,1,8552.434409809368
Moscow,55.755826,37.6173,234,1,8888.083503686135
San Juan Del Sur,11.263406,-85.8639766,82,1,8932.277285747268
Costa Rica,9.748917,-83.753428,81,1,8970.10435355466
Houston,29.7604267,-95.3698028,107,1,9125.694369010907
Jo Drive,32.6291368,-96.8626703,116,1,9130.62221516416
Canada,56.130366,-106.346771,235,1,9133.65178729173
Colombia,4.570868,-74.297333,79,1,9159.650805915127
United States of America,37.09024,-95.712891,141,2,9307.638723957223
New Orlean,29.9510658,-90.0715323,108,2,9417.307745330798
Arkansaw,35.20105,-91.8318334,131,1,9465.569195894443
St Kilda,41.573812,-93.7085556,166,1,9503.17393961578
Mississippi,32.3546679,-89.3985283,115,1,9522.058131746177
Hungary,47.162494,19.503304,191,1,9543.05333200243
Bari,41.1171432,16.8718715,163,1,9585.336002609003
Ne• Tum,36.8924433,15.0651945,139,1,9595.630890993922
Tupelo Beach,34.2576066,-88.7033859,128,1,9608.691947095418
St Louis',38.6270025,-90.1994042,147,1,9627.098487600342
Panama City,30.1588129,-85.6602058,110,1,9662.348736991178
Vienna,48.2081743,16.3738189,194,1,9697.336831769626
Thal.,47.078596,15.3552061,190,1,9735.928819208873
Cuba,21.521757,-77.781167,95,1,9790.048418326422
District Fl,27.6648274,-81.5157535,104,1,9810.968943239885
Italy,41.87194,12.56738,171,1,9814.647046327205
Saint Minerva,41.8979888,12.4780226,172,1,9819.523735703673
Fort Lauderdale,26.1224386,-80.1373174,99,1,9834.43690113211
Palm Beach,26.7056206,-80.0364297,100,1,9859.597399334994
Venice,45.4408474,12.3155151,183,1,9867.073495894492
Indiana,40.5512165,-85.6023643,156,1,9897.96477829845
Kentucky,37.8393332,-84.2700179,146,1,9922.021358806447
Soll(S,46.3598939,11.241014,188,1,9925.241608071461
Germany,51.165691,10.451526,205,1,9969.752995032468
Piazza Duomo,45.4641941,9.189698,184,1,10018.339743170838
Olmln L400,51.8670254,5.8721896,212,1,10162.685875514708
Pleasant Park,35.7020037,-78.8855228,134,1,10167.479782833956
Us Virgin Islands,18.335765,-64.896335,91,1,10289.80452905144
Lille,50.62925,3.057256,204,1,10294.846469706394
Virgin Islands,18.3333333,-64.75,90,1,10296.359624962895
Washington,38.9071923,-77.0368707,148,2,10320.982607278485
East Beach,36.9275731,-76.1852736,140,1,10335.503357401765
Pa,41.2033216,-77.1945247,164,1,10339.228078478545
Paris,48.856614,2.3522219,197,1,10340.173872834197
France,46.227638,2.213749,187,2,10356.61529304741
Ipswich,52.056736,1.14822,213,1,10359.469525252802
Jubilee Park,53.1557403,-0.2215658,222,1,10397.663656132056
Penshurst,51.1727246,0.1824358,206,1,10412.540360704554
York,53.9614205,-1.0739108,230,1,10415.598411607358
London,51.5072178,-0.1275862,209,1,10420.934113045754
Old City,39.9500455,-75.1438117,152,1,10433.457402284408
B.Jenkinson,53.6924621,-1.6311384,226,1,10442.963800604577
England,52.3555177,-1.1743197,218,1,10450.645175742344
Derby,52.9225301,-1.4746186,221,1,10452.305413434293
Britain,55.378051,-3.435973,233,1,10470.74376830556
Birmingham,52.486243,-1.890401,219,1,10477.431601378552
Montville,40.9148209,-74.383763,162,1,10482.32896056016
Anchorage Beach,40.3673046,-73.9735742,153,1,10498.927724454725
New York,40.7127753,-74.0059728,158,1,10500.298420923335
Manhattan,40.7830603,-73.9712488,160,1,10502.697228171466
Jersey,49.2137711,-2.1357662,198,1,10538.900639397685
South Wales,51.6858341,-3.3821421,211,1,10553.760640602544
Dart­ Moor,50.5718857,-3.9206884,203,1,10596.720854621883
Tower Hill,42.360568,-71.7274885,174,1,10627.650078514967
Spain,40.463667,-3.74922,154,1,10639.935407582207
Htl'M'.9)Ma',42.4072107,-71.3824374,175,1,10645.427821065607
North Dighton,41.8644591,-71.1300338,170,1,10656.5610337441
Malden,42.4250964,-71.066163,176,1,10661.638660114399
B.Barry 2,52.1277623,-8.2895635,214,1,10741.420342488887
Oak Island,44.5122805,-64.2949465,180,1,10994.402125418845
