GPE,Count,Latitude,Longitude
Terang,1,-38.2404416,142.9108851
Portland,7,45.515232,-122.6783853
Warrnambool,17,-38.3720954,142.4777782
Warrnambool City Council,1,-38.3686779,142.4982086
Coburg,1,50.2612094,10.962695
Jubilee Park,1,53.1557403,-0.2215658
Tower Hill,1,42.360568,-71.72748849999999
Palm Springs,2,33.8302961,-116.5452921
Italy,4,41.87194,12.56738
NSW,2,-31.2532183,146.921099
America,3,37.09024,-95.712891
Venice,3,45.4408474,12.3155151
Florence,1,43.7695604,11.2558136
Rome,1,41.9027835,12.4963655
Bali,3,-8.4095178,115.188916
Australia,25,-25.274398,133.775136
RUSSIA,1,61.52401,105.318756
Canberra,3,-35.2809368,149.1300092
Russia,1,61.52401,105.318756
Afghanistan,2,33.93911,67.709953
Perth,3,-31.9523123,115.861309
New Zealand,3,-40.900557,174.885971
St George Ban.k,1,46.5649601,21.7272883
China,3,35.86166,104.195397
Mpowerlnc,1,39.3796942,-77.41050729999999
differenl,1,23.1261837,113.2471997
Gabba,1,-27.4858376,153.0380853
Brisbane,3,-27.4704528,153.0260341
England,11,52.3555177,-1.1743197
Vienna,1,48.2081743,16.3738189
Edgbaston,1,52.4553184,-1.9040926
Birmingham,1,52.48624299999999,-1.890401
Chesll Beach,1,50.6266703,-2.5605472
PGav,2,38.6273496,-90.1887947
Queens,5,40.7282239,-73.7948516
Oak Island,2,44.5122805,-64.2949465
USA,1,37.09024,-95.712891
Lagos,2,6.5243793,3.3792057
Paris,6,48.856614,2.3522219
Chesll Beach.(2017,1,50.6266703,-2.5605472
Brooklyn,2,40.6781784,-73.9441579
Rosehill,1,-33.8239653,151.0212029
Flemington,3,40.5123258,-74.85933179999999
Ipswich,1,52.056736,1.14822
LONDON,1,51.5072178,-0.1275862
"Jlmmys E.,Broadway",1,47.6114238,-122.3205578
ne-nc,1,35.4576707,-76.06324219999999
MUMBAI,1,19.0759837,72.8776559
Mumbai,1,19.0759837,72.8776559
45616 LAYISHTHINKERw(l,1,38.8199214,-83.357567
Spain,5,40.46366700000001,-3.74922
Tasmania,1,-42.0409059,146.8087322
Arkansaw,1,35.20105,-91.8318334
tum,2,48.14900799999999,11.5674039
Kavanas,1,53.9897186,-7.3633319
Houston,1,29.7604267,-95.3698028
Mornington,1,-38.22882,145.0600448
GoodC,1,52.2471366,21.0632676
EGYPT,1,26.820553,30.802498
US,3,37.09024,-95.712891
Hong Kong,1,22.3193039,114.1693611
NZ)·Spect,1,-40.900557,174.885971
nic:es,1,43.7101728,7.261953200000001
Egypt,1,26.820553,30.802498
Cranboume,1,-38.1054204,145.2818338
SofITT,1,51.4287737,-2.6334927
S.iicramenlo,1,38.5815719,-121.4943996
MornlngtOn,1,-38.22882,145.0600448
edlhnleW1de,1,28.7040592,77.10249019999999
Derby,1,52.9225301,-1.4746186
New York,1,40.7127753,-74.0059728
Pakenham,1,-38.0776708,145.4818724
ptav,1,41.7576994,-71.4320505
Ballarat,3,-37.5621587,143.8502556
Bendigo,1,-36.75961960000001,144.2785764
Malden SW,10,42.4250964,-71.066163
