GPE,Latitude,Longitude,group_ID,sum
Te Mania,-41.3324394,173.1606394,2,1
New Zealand,-40.900557,174.885971,4,2
Lava Street,-38.3817814,142.4849584,6,1
South West Healthcare,-38.3801373,142.473434,7,1
Central Warrnambool,-38.3720954,142.4777782,8,1
South Warrnambool,-38.3720954,142.4777782,8,1
Hotel Warrnambool,-38.3720954,142.4777782,8,1
East Warrnambool,-38.3720954,142.4777782,8,1
Koroit,-38.2921758,142.3673185,10,1
Terang Mortlake 9,-38.2404416,142.9108851,11,1
Geelong,-38.1492994,144.3598426,13,1
Corangamite Shire,-38.1491105,143.1319209,14,1
Kolora,-38.1380254,142.9259307,15,1
Beach Oval,-37.9455911,145.0007827,20,1
South Melbourne,-37.8343443,144.9559035,21,1
Parkville,-37.7787036,144.9426083,24,1
Glenthompson,-37.6367776,142.5477626,25,1
Ballarat,-37.5621587,143.8502556,26,1
Lake Wendouree,-37.5528276,143.8332407,27,1
Pigeon Ponds,-37.2979115,141.6709392,28,1
Kyneton,-37.2490932,144.4532075,29,1
Bendigo,-36.7596196,144.2785764,31,1
Kangaroo Island,-35.7752426,137.2142417,36,1
Scott Creek,-35.0565609,138.7080325,39,1
Adelaide Hills,-34.9062557,138.8397403,41,1
Port Adelaide,-34.8442994,138.505369,42,1
Berry,-34.7757734,150.6988896,43,1
Clare Valley,-33.8335699,138.61,48,1
Manly Beach,-33.7931501,151.2876488,50,1
Terrey Hills,-33.6832036,151.2254937,51,1
Broken Hill,-31.9595859,141.4608138,54,1
Howe Island,-31.5553263,159.0821211,56,1
New South Wales,-31.2532183,146.921099,57,1
South Australia,-30.0002315,136.2091547,58,1
Victoria Park,-27.4553219,153.0247254,61,1
Sunreef Mooloolaba,-26.6835329,153.122156,62,1
Mooloolaba Beach,-26.6809437,153.121665,63,1
Maroochydore Beach,-26.65447,153.1036287,64,1
Rainbow Beach,-25.9045007,153.0897222,66,1
Hunters Australia,-25.274398,133.775136,67,1
Australia,-25.274398,133.775136,67,2
Raung 58,-8.1258333,114.0458333,71,1
Papua New Guinea,-6.314993,143.95555,72,1
Torokina,-6.2448035,155.0419034,73,1
Bougainville,-6.053602,155.1907309,74,1
New Guinea,-5.0122202,141.3470159,75,1
Singapore,1.352083,103.819836,77,1
L. Jersey,1.5252662,103.6610018,78,1
Colombia,4.570868,-74.297333,79,1
Costa Rica,9.748917,-83.753428,81,1
San Juan Del Sur,11.263406,-85.8639766,82,1
Nha Trang,12.2529152,109.1899018,83,1
Los Angeles,12.9088834,74.9938573,87,1
Khartoum,15.5006544,32.5598994,88,1
