GPE,Count,Latitude,Longitude,group_ID
Blnqerlnll,1,-43.5448377,172.6405845,0
Hobart,2,-42.8826055,147.3257196,1
Tasmania,3,-42.0409059,146.8087322,2
Tasmania,3,-42.0409059,146.8087322,2
Tasmania,3,-42.0409059,146.8087322,2
Te Mania,2,-41.3324394,173.1606394,3
Picton,1,-41.2954812,174.0028153,4
Nz)·Spect,1,-40.900557,174.885971,5
New Zealand,9,-40.900557,174.885971,5
New Zealand,9,-40.900557,174.885971,5
New Zealand,9,-40.900557,174.885971,5
Wonthaggi,1,-38.6060046,145.5910694,6
Griffilhs Island,1,-38.3920823,142.2469658,7
Lava Street,2,-38.3817814,142.4849584,8
Port Pairy,1,-38.3806327,142.2294039,9
South West Heatthcare,1,-38.3801373,142.473434,10
South West Healthcare,1,-38.3801373,142.473434,10
North Warrnambool Ea­,1,-38.3720954,142.4777782,11
Worrnombool Tel,1,-38.3720954,142.4777782,11
Central Warrnambool,1,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
South Warrnambool,33,-38.3720954,142.4777782,11
Warmambool,11,-38.3720954,142.4777782,11
Warmambool,11,-38.3720954,142.4777782,11
Warmambool,11,-38.3720954,142.4777782,11
Warrnambool,138,-38.3720954,142.4777782,11
Warrnambool,138,-38.3720954,142.4777782,11
Warrnambool,138,-38.3720954,142.4777782,11
Warrnambool,138,-38.3720954,142.4777782,11
Warrnambool,138,-38.3720954,142.4777782,11
Warmambool South-,1,-38.3720954,142.4777782,11
Hotel Warrnambool,1,-38.3720954,142.4777782,11
North Warrnambool,12,-38.3720954,142.4777782,11
North Warrnambool,12,-38.3720954,142.4777782,11
North Warrnambool,12,-38.3720954,142.4777782,11
New Warrnambool,1,-38.3720954,142.4777782,11
South Warmambool,2,-38.3720954,142.4777782,11
North Warrnam­,1,-38.3720954,142.4777782,11
North Warrnamllool Eagin,1,-38.3720954,142.4777782,11
Nonh Warrnambool,1,-38.3720954,142.4777782,11
East Warrnambool,1,-38.3720954,142.4777782,11
South Wbool,2,-38.3720954,142.4777782,11
North Warmambool,3,-38.3720954,142.4777782,11
Reet Warrnambool,1,-38.3720954,142.4777782,11
North Warrnambool Eaglesl,1,-38.3720954,142.4777782,11
Warrnambocl,1,-38.3720954,142.4777782,11
Warrnambool City Council,1,-38.3686779,142.4982086,12
Bushfield,2,-38.3250935,142.5055545,13
Pomborneit,1,-38.2967124,143.2990793,14
Koroit,32,-38.2921758,142.3673185,15
Koroit,32,-38.2921758,142.3673185,15
Koroit,32,-38.2921758,142.3673185,15
Koroit,32,-38.2921758,142.3673185,15
Koroit,32,-38.2921758,142.3673185,15
Grassmere,1,-38.2582366,142.5410767,16
Narrawong,1,-38.2533641,141.7088602,17
Terang Mortlake 9,1,-38.2404416,142.9108851,18
Terang Mortlake Team­,1,-38.2404416,142.9108851,18
Terang,11,-38.2404416,142.9108851,18
Terang,11,-38.2404416,142.9108851,18
Terang,11,-38.2404416,142.9108851,18
Terang,11,-38.2404416,142.9108851,18
Terang,11,-38.2404416,142.9108851,18
Mornlngton,1,-38.22882,145.0600448,19
Mornington,1,-38.22882,145.0600448,19
Tyrendorra,1,-38.2184418,141.780982,20
The Mount Noorat,1,-38.1911136,142.9294969,21
Bessiebelle Park,1,-38.1542234,141.9569039,22
Geelong,16,-38.1492994,144.3598426,23
Geelong,16,-38.1492994,144.3598426,23
Geelong,16,-38.1492994,144.3598426,23
Geelong,16,-38.1492994,144.3598426,23
Geelong,16,-38.1492994,144.3598426,23
"Fremantie, Geelong",1,-38.1492994,144.3598426,23
Corangamite Shire,1,-38.1491105,143.1319209,24
Kolora,2,-38.1380254,142.9259307,25
Cranboume,1,-38.1054204,145.2818338,26
Pakenham,1,-38.0776708,145.4818724,27
Dandenong,1,-37.9847811,145.2139907,28
Caramut,1,-37.9590175,142.5189691,29
Beach Oval,1,-37.9455911,145.0007827,30
Branxholme,3,-37.8614896,141.8015613,31
Toorak,2,-37.8416751,145.0138468,32
South Melbourne,1,-37.83434430000001,144.9559035,33
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Melbourne,51,-37.8136276,144.9630576,34
Northmelbourne,1,-37.8008004,144.9485049,35
Maribymong,1,-37.7837482,144.8908713,36
Maribyrnong,1,-37.7837482,144.8908713,36
Parkville,1,-37.7787036,144.9426083,37
Banyule,2,-37.7314254,145.082419,38
South West Victona,1,-37.6975835,142.4039296,39
Glentoompson,1,-37.63677759999999,142.5477626,40
Glenthompson,1,-37.63677759999999,142.5477626,40
Gippsland,1,-37.5831982,147.4627259,41
Ballarat,12,-37.5621587,143.8502556,42
Ballarat,12,-37.5621587,143.8502556,42
Ballarat,12,-37.5621587,143.8502556,42
Ballarat,12,-37.5621587,143.8502556,42
Ballarat,12,-37.5621587,143.8502556,42
Ballarat Orgeelong,1,-37.5621587,143.8502556,42
Lake Wendouree,1,-37.5528276,143.8332407,43
Kooongwootong,1,-37.4798193,141.6394694,44
Pigeon Ponds,1,-37.2979115,141.6709392,45
Kyneton,1,-37.2490932,144.4532075,46
Solllliern Grampians,1,-37.2108819,142.3979571,47
Brambuk,1,-37.1579303,142.5302372,48
Redesdale,1,-37.0033555,144.5011709,49
Victoria,22,-36.9847807,143.3906074,50
Victoria,22,-36.9847807,143.3906074,50
Victoria,22,-36.9847807,143.3906074,50
Victoria,22,-36.9847807,143.3906074,50
Victoria,22,-36.9847807,143.3906074,50
Naracoorte,2,-36.9569884,140.7417779,51
Panmure,8,-36.9011809,174.8570732,52
Panmure,8,-36.9011809,174.8570732,52
Panmure,8,-36.9011809,174.8570732,52
Ellerslie,1,-36.8996982,174.8161917,53
Bendigo,4,-36.75961960000001,144.2785764,54
Bendigo,4,-36.75961960000001,144.2785764,54
Tatura,1,-36.4400613,145.2260066,55
Russells Creek,4,-36.34171507511021,149.7011392578551,56
Russells Creek,4,-36.34171507511021,149.7011392578551,56
Russells Creek,4,-36.34171507511021,149.7011392578551,56
Cooma,1,-36.2345567,149.1270444,57
Albury,3,-36.0751193,146.9094852,58
Albury,3,-36.0751193,146.9094852,58
Yarrawonga,1,-36.0260723,146.0003241,59
Kangaroo Island,1,-35.7752426,137.2142417,60
Canberra,8,-35.2809368,149.1300092,61
Canberra,8,-35.2809368,149.1300092,61
Canberra,8,-35.2809368,149.1300092,61
Bewong,1,-35.0853273,150.5337437,62
Shoalhaven,1,-35.0810677,150.4892292,63
Scott Creek,1,-35.0565609,138.7080325,64
Adelaide,8,-34.9284989,138.6007456,65
Adelaide,8,-34.9284989,138.6007456,65
Adelaide,8,-34.9284989,138.6007456,65
Adelaide,8,-34.9284989,138.6007456,65
Adelaide Hills,1,-34.9062557,138.8397403,66
The Adelaide Hills,1,-34.9062557,138.8397403,66
Port Adelaide,3,-34.8442994,138.505369,67
Port Adelaide,3,-34.8442994,138.505369,67
Port Adelaide,3,-34.8442994,138.505369,67
Berryt,1,-34.7757734,150.6988896,68
Berry,1,-34.7757734,150.6988896,68
Goulburn,1,-34.7567489,149.713629,69
Wooonoa,1,-34.3423802,150.9052832,70
Mildura,5,-34.2068859,142.1366852,71
Mildura,5,-34.2068859,142.1366852,71
Wayalong,1,-33.9223568,147.2026202,72
Camperdown,9,-33.88622429999999,151.1791091,73
Camperdown,9,-33.88622429999999,151.1791091,73
Camperdown,9,-33.88622429999999,151.1791091,73
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Sydney,26,-33.8688197,151.2092955,74
Clare Valley,1,-33.8335699,138.61,75
Rosehill,1,-33.8239653,151.0212029,76
Manly Beach,1,-33.7931501,151.2876488,77
Terrey,1,-33.6832036,151.2254937,78
Wyong},1,-33.2843475,151.4249427,79
Shortland,2,-32.8797702,151.6937761,80
Fremantle,3,-32.0517901,115.755096,81
Fremantle,3,-32.0517901,115.755096,81
Broken Hill,1,-31.9595859,141.4608138,82
Perth,9,-31.9523123,115.861309,83
Perth,9,-31.9523123,115.861309,83
Perth,9,-31.9523123,115.861309,83
Subiaco,1,-31.9470195,115.8240278,84
Howe Island,3,-31.5553263,159.0821211,85
New South Wales,1,-31.2532183,146.921099,86
Nsw,12,-31.2532183,146.921099,86
Nsw,12,-31.2532183,146.921099,86
Nsw,12,-31.2532183,146.921099,86
Nsw,12,-31.2532183,146.921099,86
South Australia,4,-30.0002315,136.2091547,87
Victoria Point,1,-27.5879419,153.303966,88
Gabba,1,-27.4858376,153.0380853,89
Brisbane,10,-27.4704528,153.0260341,90
Brisbane,10,-27.4704528,153.0260341,90
Brisbane,10,-27.4704528,153.0260341,90
Brisbane,10,-27.4704528,153.0260341,90
Brisbane,10,-27.4704528,153.0260341,90
Victoria Park,3,-27.4553219,153.0247254,91
Victoria Park,3,-27.4553219,153.0247254,91
Sunreef Mooloolaba,1,-26.6835329,153.122156,92
Mooloolaba,4,-26.6818215,153.11903,93
Mooloolaba Beach Is,1,-26.6809437,153.121665,94
Mooloolaba Beach,1,-26.6809437,153.121665,94
Woombye,1,-26.6605212,152.9649067,95
Maroochydore Beach,1,-26.65447,153.1036287,96
Noosa,1,-26.3645433,152.9676695,97
Rainbow Beach,1,-25.9045007,153.0897222,98
Maryborough,1,-25.5384947,152.7034191,99
Australia.8.30,1,-25.274398,133.775136,100
Australia,100,-25.274398,133.775136,100
Australia,100,-25.274398,133.775136,100
Australia,100,-25.274398,133.775136,100
Australia,100,-25.274398,133.775136,100
Australia,100,-25.274398,133.775136,100
Au Tralian,1,-25.274398,133.775136,100
Hunters Australia,1,-25.274398,133.775136,100
Austraiia,1,-25.274398,133.775136,100
Queensland,10,-22.575197,144.0847926,101
Queensland,10,-22.575197,144.0847926,101
Suva,1,-18.1405049,178.4232507,102
Cairns,5,-16.9203476,145.7709529,103
Parap,1,-12.4322152,130.8433184,104
Nhulunbuy,1,-12.1835392,136.7860989,105
Ataili,1,-8.505541299999999,123.452367,106
Bali,7,-8.4095178,115.188916,107
Bali,7,-8.4095178,115.188916,107
Bali,7,-8.4095178,115.188916,107
Bali,7,-8.4095178,115.188916,107
Raung 58,1,-8.1258333,114.0458333,108
Lae,1,-6.7155252,146.999905,109
Papua New Guinea,1,-6.314992999999999,143.95555,110
Torokina,1,-6.2448035,155.0419034,111
Bougainville,1,-6.053602,155.1907309,112
New Guinea,1,-5.0122202,141.3470159,113
Indonesia,1,-0.789275,113.921327,114
Singapore,4,1.352083,103.819836,115
Singapore,4,1.352083,103.819836,115
Bitung,1,1.4403744,125.1216524,116
L. Jersey,1,1.5252662,103.6610018,117
Colombia,2,4.570868,-74.297333,118
Lagos,3,6.5243793,3.3792057,119
Lagos,3,6.5243793,3.3792057,119
Panama,2,8.537981,-80.782127,120
Panama,2,8.537981,-80.782127,120
Costa Rica,1,9.748917,-83.753428,121
Puntarenas,2,9.9778439,-84.82942109999999,122
Cartagena,3,10.3932277,-75.4832311,123
San Juan Del Sur,2,11.263406,-85.8639766,124
Thmgs 1Hat,1,11.3377142,77.71826940000001,125
Nha Trang,1,12.2529152,109.1899018,126
Sudan,4,12.862807,30.217636,127
Nicaragua,1,12.865416,-85.207229,128
Philippines,1,12.879721,121.774017,129
Los Angeles.(Pg,3,12.9088834,74.9938573,130
Los Angeles.(Pg,3,12.9088834,74.9938573,130
Los Angeles.(Pg,3,12.9088834,74.9938573,130
Khartoum,4,15.5006544,32.5598994,131
Huatulco,2,15.8340071,-96.3199488,132
Mali,1,17.570692,-3.996166,133
Puerto,1,18.220833,-66.590149,134
Virgin Islands,1,18.3333333,-64.75,135
Us Virgin Islands,3,18.335765,-64.896335,136
Tht Dominican,1,18.735693,-70.162651,137
Mumbai,2,19.0759837,72.8776559,138
Mumbai,2,19.0759837,72.8776559,138
Hawaii Flve-0,1,19.8986819,-155.6658568,139
India,7,20.593684,78.96288,140
India,7,20.593684,78.96288,140
India,7,20.593684,78.96288,140
Puerto Vallarta,2,20.653407,-105.2253316,141
Cun,1,21.0417033,-86.8740062,142
Cuba,1,21.521757,-77.781167,143
Thei.R,1,22.269919,114.240714,144
Hong Kong,5,22.3193039,114.1693611,145
Hong Kong,5,22.3193039,114.1693611,145
Differenl,1,23.1261837,113.2471997,146
Mexico,2,23.634501,-102.552784,147
Bangladesh,1,23.684994,90.356331,148
Dhaka,2,23.804093,90.4152376,149
Onelor,2,25.3764721,55.5128061,150
Miami,1,25.7616798,-80.1917902,151
Logans Beach,1,26.0134498,-80.11567749999999,152
Fll,1,26.1224386,-80.13731740000001,153
Fort Lauderdale,1,26.1224386,-80.13731740000001,153
Palm Beach,1,26.7056206,-80.0364297,154
Egypt,6,26.820553,30.802498,155
Egypt,6,26.820553,30.802498,155
Egypt,6,26.820553,30.802498,155
Egypt,6,26.820553,30.802498,155
Jaipur,3,26.9124336,75.7872709,156
Jaipur,3,26.9124336,75.7872709,156
Agra,1,27.1766701,78.00807449999999,157
Bhutan,1,27.514162,90.433601,158
District Fl,1,27.6648274,-81.5157535,159
The Palm Springs,1,28.4472647,77.1007152,160
Mool­,1,28.4976638,77.085563,161
Territo­,1,28.5627386,-81.5565432,162
Golden Triangle Delhi,1,28.65032219999999,77.200356,163
Choclyn,1,28.6942427,77.1290788,164
Edlhnlew1De,1,28.7040592,77.10249019999999,165
Delhi,2,28.7040592,77.10249019999999,165
Sonora,1,29.2972247,-110.3308814,166
Houston,2,29.7604267,-95.3698028,167
Houston,2,29.7604267,-95.3698028,167
New Orlean,1,29.95106579999999,-90.0715323,168
New Orleans,3,29.95106579999999,-90.0715323,168
New Orleans,3,29.95106579999999,-90.0715323,168
New Orleans,3,29.95106579999999,-90.0715323,168
New Ega,2,30.0505753,31.245891,169
