GPE,Latitude,Longitude,group_ID
Hobart,-42.8826055,147.3257196,0
Tasmania,-42.0409059,146.8087322,1
Te Mania,-41.3324394,173.1606394,2
Picton,-41.2954812,174.0028153,3
Nz)·Spect,-40.900557,174.885971,4
New Zealand,-40.900557,174.885971,4
Logans Beach,-38.4014129,142.5178222,5
Lava Street,-38.3817814,142.4849584,6
South West Healthcare,-38.3801373,142.473434,7
Central Warrnambool,-38.3720954,142.4777782,8
South Warrnambool,-38.3720954,142.4777782,8
Hotel Warrnambool,-38.3720954,142.4777782,8
Warmambool,-38.3720954,142.4777782,8
Warrnambool,-38.3720954,142.4777782,8
East Warrnambool,-38.3720954,142.4777782,8
Bushfield,-38.3250935,142.5055545,9
Koroit,-38.2921758,142.3673185,10
Terang Mortlake 9,-38.2404416,142.9108851,11
Mornlngton,-38.22882,145.0600448,12
Mornington,-38.22882,145.0600448,12
Geelong,-38.1492994,144.3598426,13
Corangamite Shire,-38.1491105,143.1319209,14
Kolora,-38.1380254,142.9259307,15
Cranbourne,-38.1054204,145.2818338,16
Pakenham,-38.0776708,145.4818724,17
Dandenong,-37.9847811,145.2139907,18
Caramut,-37.9590175,142.5189691,19
Beach Oval,-37.9455911,145.0007827,20
South Melbourne,-37.83434430000001,144.9559035,21
Melbourne,-37.8136276,144.9630576,22
Maribymong,-37.7837482,144.8908713,23
Parkville,-37.7787036,144.9426083,24
Glenthompson,-37.63677759999999,142.5477626,25
Ballarat,-37.5621587,143.8502556,26
Lake Wendouree,-37.5528276,143.8332407,27
Pigeon Ponds,-37.2979115,141.6709392,28
Kyneton,-37.2490932,144.4532075,29
Naracoorte,-36.9569884,140.7417779,30
Bendigo,-36.75961960000001,144.2785764,31
Russells Creek,-36.34171507511021,149.7011392578551,32
Cooma,-36.2345567,149.1270444,33
Albury,-36.0751193,146.9094852,34
Yarrawonga,-36.0260723,146.0003241,35
Kangaroo Island,-35.7752426,137.2142417,36
Canberra,-35.2809368,149.1300092,37
Shoalhaven,-35.0810677,150.4892292,38
Scott Creek,-35.0565609,138.7080325,39
Adelaide,-34.9284989,138.6007456,40
Adelaide Hills,-34.9062557,138.8397403,41
Port Adelaide,-34.8442994,138.505369,42
Berry,-34.7757734,150.6988896,43
Pemberton,-34.4455602,116.0332544,44
Wayalong,-33.9223568,147.2026202,45
Camperdown,-33.88622429999999,151.1791091,46
Sydney,-33.8688197,151.2092955,47
Clare Valley,-33.8335699,138.61,48
Rosehill,-33.8239653,151.0212029,49
Manly Beach,-33.7931501,151.2876488,50
Terrey Hills,-33.6832036,151.2254937,51
Shortland,-32.8797702,151.6937761,52
Fremantle,-32.0517901,115.755096,53
Broken Hill,-31.9595859,141.4608138,54
Perth,-31.9523123,115.861309,55
Howe Island,-31.5553263,159.0821211,56
New South Wales,-31.2532183,146.921099,57
South Australia,-30.0002315,136.2091547,58
Victoria Point,-27.5879419,153.303966,59
Brisbane,-27.4704528,153.0260341,60
Victoria Park,-27.4553219,153.0247254,61
Sunreef Mooloolaba,-26.6835329,153.122156,62
Mooloolaba Beach,-26.6809437,153.121665,63
