Unique_GPE_Names,Is_Valid,Category
Us,False,0
Previ­,False,0
Turkey,False,0
"53,9",False,0
Navato,False,0
Brisbane,False,0
Vancouver,False,0
Goulburn,False,0
Mornington,False,0
Albury,False,0
Motza,False,0
Mt!Scamnto,False,0
Hellekens,False,0
Regensburg,False,0
Nice,False,0
Banyule,False,0
Island,False,0
Tht Dominican,False,0
Sonoma,False,0
Sudan,False,0
Naracoorte,False,0
Pgav,False,0
Merrivale,False,0
Wtll!W\,False,0
Maribymong,False,0
Philippines,False,0
Charlotte,False,0
Lurn,False,0
Thei.R,False,0
Agra,False,0
Rothenburg,False,0
Ri,False,0
Bergen,False,0
Lagos,False,0
Puglia,False,0
M.Monaghan,False,0
Stockholm,False,0
Delhi,False,0
Solllliern Grampians,False,0
Jaipur,False,0
Butte,False,0
Collingwood,False,0
Dandenong,False,0
Kavanas,False,0
Belarus,False,0
Lyon,False,0
Manitoba,False,0
Baynes,False,0
Vegas,False,0
Heywood-Portland,False,0
Peterborough,False,0
Jfranklin,False,0
Perth,False,0
Dreambound,False,0
Winocka,False,0
Queensland,False,0
Coleraine,False,0
Queens­,False,0
Warmambool,False,0
Tltis,False,0
Austraiia,False,0
Pomborneit,False,0
Tum,False,0
Australia.8.30,False,0
Terrey,False,0
Adelaide,False,0
Catania,False,0
Brooklyn,False,0
Mghl,False,0
Portland,False,0
Rome,False,0
Pemberton,False,0
Differenl,False,0
Goodc,False,0
Cranboume,False,0
Cooma,False,0
Berryt,False,0
Sc,False,0
Coburg,False,0
Sa.So,False,0
Westmere,False,0
Aghl,False,0
Nc,False,0
Yorkshire,False,0
Shortland,False,0
Shoalhaven,False,0
Kansas,False,0
Bushfield,False,0
Parap,False,0
Denali,False,0
Jlor,False,0
Mornlngton,False,0
Euston,False,0
Nhulunbuy,False,0
Indio,False,0
Ataili,False,0
North­,False,0
Ottawa,False,0
Submer,False,0
Glencoe,False,0
Cairns,False,0
Whitehaven,False,0
Wooiey,False,0
Mortlake,False,0
Pakenham,False,0
Bordeaux,False,0
Bools,False,0
Quebec,False,0
Providence,False,0
Syria,False,0
Territo­,False,0
Mildura,False,0
Onelor,False,0
Melbourne,False,0
Bali,False,0
Tyrendorra,False,0
Sydney,False,0
Branxholme,False,0
Holland,False,0
Marwick,False,0
Guernsey,False,0
Dhaka,False,0
Flemington,False,0
Logans Beach,False,0
Lae,False,0
Narrawong,False,0
Solu­,False,0
Acros,False,0
Dunkeld,False,0
Egypt,False,0
S.Iicramenlo,False,0
Camperdown,False,0
Meua,False,0
Heavyground,False,0
Heywood,False,0
Fremantle,False,0
Wayalong,False,0
Tassie,False,0
Amecourt,False,0
Victoria Point,False,0
Edlhnlew1De,False,0
Pakistan,False,0
Ptav,False,0
Bath,False,0
Mali,False,0
Wyong},False,0
Zaporizhzhia,False,0
Huatulco,False,0
Subiaco,False,0
Llrving,False,0
Ellerslie,False,0
Dennington,False,0
Wurzburg,False,0
Bjue,False,0
Ukraine,False,0
Malibu,False,0
Nj,False,0
Fll,False,0
Rosehill,False,0
Northmelbourne,False,0
Wanong,False,0
Salem,False,0
Miami,False,0
Jenin,False,0
Haintz,False,0
Panmure,False,0
Toorak,False,0
Warrnambocl,False,0
Indonesia,False,0
Richmond,False,0
Orleans,False,0
Thmgs 1Hat,False,0
Mpowerlnc,False,0
Mool­,False,0
Puerto,False,0
Brookwood,False,0
Nmccartney,False,0
Seoul,False,0
Tatura,False,0
Gabba,False,0
Canberra,False,0
Pl!Dto,False,0
Cork,False,0
Hobart,False,0
Edgbaston,False,0
Gippsland,False,0
Brambuk,False,0
Florence,False,0
Noosa,False,0
Wooonoa,False,0
Caramut,False,0
Ne-Nc,False,0
Ilbnotmilil,False,0
Blnqerlnll,False,0
Pineview,False,0
Tenn,False,0
Newfoundland,False,0
Russells Creek,False,0
Choclyn,False,0
Delaware,False,0
Princetown,False,0
Blackheath,False,0
Mumbai,False,0
Mooloolaba,False,0
Wonthaggi,False,0
Queens,False,0
Bitung,False,0
Woombye,False,0
Tasmania,False,0
Redesdale,False,0
N.Murphy,False,0
Georgia,False,0
Maryborough,False,0
Terang,False,0
Againsl,False,0
Connecticut,False,0
Cun,False,0
Winnipeg,False,0
Suva,False,0
Puntarenas,False,0
Davenport,False,0
Ca,False,0
Cartagena,False,0
Panama,False,0
Scotland,False,0
Warrnambool,False,0
Wfll,False,0
Broadwater,False,0
Sofitt,False,0
Picton,False,0
Lecce,False,0
I.Sa,False,0
Saint Martins,False,0
Lieelong,False,0
Mals+L,False,0
T.Ste,False,0
Nic:Es,False,0
Maribyrnong,False,0
Usa,False,0
Bewong,False,0
Nicaragua,False,0
Ounkeld,False,0
Norfolk,False,0
Yarrawonga,False,0
Sonora,False,0
Albany,False,0
Russia,False,0
Nsw,False,0
Norway,False,0
Victoria,False,0
Warwick,False,0
Grassmere,False,0
Sheffield,False,0
