GPE,Count,Latitude,Longitude,group_ID,GPE_new,Discrepancy
BlnQerlnll,1,-43.5448377,172.6405845,0,Christchurch,1
JAPAN,1,36.204824,138.252924,215,Nagawa,1
US,8,37.09024,-95.712891,223,Dearing,1
US,3,37.09024,-95.712891,223,Dearing,1
USA,1,37.09024,-95.712891,223,Dearing,1
America,3,37.09024,-95.712891,223,Dearing,1
America,1,37.09024,-95.712891,223,Dearing,1
America,1,37.09024,-95.712891,223,Dearing,1
USA,1,37.09024,-95.712891,223,Dearing,1
Syracusan,1,37.0754739,15.2865861,222,Syracuse,1
East Beach,1,36.9275731,-76.1852736,221,Norfolk,1
ne• tum,1,36.8924433,15.0651945,220,Noto,1
CA,1,36.778261,-119.4179324,218,California,1
Winocka,1,36.5822557,-98.8798145,217,Waynoka,1
Homele,1,36.2059425,43.9845763,216,Erbil,1
Japan,1,36.204824,138.252924,215,Nagawa,1
Japan,1,36.204824,138.252924,215,Nagawa,1
ne-nc,1,35.4576707,-76.06324219999999,207,North Carolina,1
las!,1,36.171563,-115.1391009,214,Las Vegas,1
Vegas,1,36.171563,-115.1391009,214,Las Vegas,1
China,3,35.86166,104.195397,213,Xiaokangying,1
China,1,35.86166,104.195397,213,Xiaokangying,1
China,1,35.86166,104.195397,213,Xiaokangying,1
China,1,35.86166,104.195397,213,Xiaokangying,1
NC,2,35.7595731,-79.01929969999999,212,Apex,1
NC,1,35.7595731,-79.01929969999999,212,Apex,1
NC,1,35.7595731,-79.01929969999999,212,Apex,1
NC,1,35.7595731,-79.01929969999999,212,Apex,1
NMcCartney,1,35.7468733,-90.6889088,211,Arkansas,1
Pleasant Park,6,35.7020037,-78.88552279999999,210,Apex,1
Tokyo,7,35.6761919,139.6503106,209,Suginami,1
TOKYO,1,35.6761919,139.6503106,209,Suginami,1
US,6,37.09024,-95.712891,223,Dearing,1
the United States,1,37.09024,-95.712891,223,Dearing,1
America,4,37.09024,-95.712891,223,Dearing,1
N.Murphy,1,37.20856089999999,-93.2941665,224,Springfield,1
Queens,1,40.7282239,-73.7948516,261,New York,1
Queens­,1,40.7282239,-73.7948516,261,New York,1
K.ColhM,1,40.6962581,-73.3224896,259,Village of Babylon,1
Brooklyn,1,40.6781784,-73.9441579,258,New York,1
Brooklyn,2,40.6781784,-73.9441579,258,New York,1
Spain,2,40.46366700000001,-3.74922,255,Madrid,1
Spain,5,40.46366700000001,-3.74922,255,Madrid,1
previ­,2,40.4297782,-111.8943629,254,Lehi,1
Anchorage Beach,1,40.3673046,-73.9735742,253,Sea Bright,1
NJ,1,40.0583238,-74.4056612,251,Jackson Township,1
Old City,1,39.9500455,-75.1438117,250,Philadelphia,1
South Warmam­,1,39.7253287,-86.2052066,249,Indianapolis,1
LVWalkenhorst,1,39.6806411,-119.704811,248,Spanish Springs,1
ESTADIOMESTALLAlh(8)_CJW,1,39.47466,-0.3585882,247,Valencia,1
Mpowerlnc,1,39.3796942,-77.41050729999999,246,Ballenger Creek,1
Jlor,1,39.3221779,-74.514657,245,Margate City,1
lurn,1,39.1159478,-77.1820999,244,Rockville,1
Turkey,1,38.963745,35.243322,242,Kocasinan,1
Washington DC,1,38.9071923,-77.0368707,240,Washington,1
