Location,Latitude,Longitude,Count
Fort Lee,40.8509333,-73.9701381,2352
Bogota,40.8762106,-74.0298621,2129
Harrington Park,40.9837089,-73.9798601,2014
Haworth,40.9609315,-73.9901383,2031
Northvale,41.0064864,-73.9490258,2107
Norwood,40.9981532,-73.96180389999999,2021
Emerson,40.976209,-74.0262505,671
Hillsdale,41.0025975,-74.0404175,1844
Montvale,41.0467635,-74.0229173,1864
Park Ridge,41.0375968,-74.0406956,1746
River Vale,41.0147679,-74.01197359999999,1744
Washington Township,39.7561387,-75.07279559999999,1909
Bergenfield,40.9275987,-73.9973608,3117
New York City,None,None,168
Clifton,40.8584328,-74.16375529999999,1213
Lyndhurst,40.81201710000001,-74.1243063,1851
Maywood,40.902599,-74.06180739999999,3838
Hasbrouck Heights,40.85815530000001,-74.0806971,2729
china,None,None,198
Warren County,40.8841854,-74.92087719999999,259
Hawthorne,40.9492649,-74.1537549,1775
North Haledon,40.9550981,-74.1859781,1493
Prospect Park,40.9370428,-74.1743111,1493
Totowa,40.9050988,-74.20986789999999,1517
Allendale,41.0414857,-74.129032,2137
Ho-Ho-Kus,40.99648639999999,-74.101253,2456
Midland Park,40.98926429999999,-74.1406988,2633
Pennsylvania,40.0583238,-74.4056612,225
New Jersey,40.0583238,-74.4056612,1336
North Arlington,40.788434,-74.1331988,55
Wallington,40.8531553,-74.11375370000002,316
Bergen County Slain,40.9262762,-74.07701,12
Jersey City,40.7177545,-74.0431435,1063
Teaneck,40.8932469,-74.0116536,896
Bergen County,40.9262762,-74.07701,1526
New Jersey's,40.0583238,-74.4056612,37
Philadelphia,40.0583238,-74.4056612,98
St. Joseph’s Regional Medical Center,40.9028517,-74.1662739,38
Paterson,40.9167654,-74.17181099999999,304
the Silk City,40.0583238,-74.4056612,30
Rockland County,None,None,79
Greenwood Lake,None,None,12
Orange County,40.0583238,-74.4056612,34
Rockaway Borough,40.8958681,-74.514102,47
Clif,40.88537729999999,-73.9523597,40
Mahwah,41.0886216,-74.1435843,46
Warren,40.6341746,-74.505529,276
Vineland,39.4863773,-75.02596369999999,118
New Hampshire,40.0583238,-74.4056612,59
U.S.,40.0583238,-74.4056612,1087
Bergen County Jail,40.8736745,-74.0398374,264
Cliffside Park,40.8214894,-73.9876388,69
Colonia,40.584867,-74.3039227,283
Woodbridge,40.5575986,-74.2846022,304
Middlesex County,40.4111363,-74.35874729999999,194
Oak Street,40.910821,-74.413258,17
Glen Rock,40.9628758,-74.1329207,224
Elmwood Park,40.9039878,-74.118476,43
Rochelle Park,40.9073328,-74.07512729999999,34
Van Saun Park,40.934628,-74.04825919999999,8
Morristown,40.79676670000001,-74.4815438,92
Bronx,None,None,285
Hackensack,40.8859325,-74.0434736,1488
Hunterdon County Facebook Page,40.56695149999999,-74.92087719999999,52
Hunterdon County,40.56695149999999,-74.92087719999999,87
Hunterdon,40.56695149999999,-74.92087719999999,101
New York State,40.0583238,-74.4056612,6
Suffern,None,None,14
Newark,40.735657,-74.1723667,1512
Maplewood,40.7299793,-74.271992,9
King,40.0583238,-74.4056612,51
Berkeley Heights,40.6808726,-74.4310524,18
New Providence,40.6984348,-74.4015405,9
Middlesex,40.572603,-74.4926541,56
North Jersey,40.0583238,-74.4056612,413
Glaze Donuts,40.940924,-74.0216219,4
New Milford,40.9350986,-74.0190281,73
Walnut Street,40.8177542,-74.212089,6
America,40.0583238,-74.4056612,35
Washington St.,41.0216125,-73.9406001,4
Hoboken,40.7439905,-74.0323626,108
Canfield,40.0583238,-74.4056612,4
Plainfield,40.6337136,-74.4073736,26
New Jersey’s,40.0583238,-74.4056612,82
Husband,40.0583238,-74.4056612,75
