Location,Latitude,Longitude,Count,group_id
Cape May,38.9351125,-74.90600529999999,86,0.0
North Wildwood,39.0006686,-74.79933299999999,1,3.0
West Wildwood,39.0023352,-74.82433429999999,1,4.0
Cape May County,39.105884,-74.8273184,86,5.0
Middle Township,39.1201616,-74.8451915,6,6.0
Sea Isle City,39.1534477,-74.6929387,2,7.0
Dennis,39.1958623,-74.8156199,1,8.0
Cumberland County,39.2587106,-75.06111469999999,202,9.0
Ocean City,39.2776156,-74.5746001,5,10.0
South Jersey,39.3583238,-74.43744099999999,16,13.0
Atlantic City,39.3642834,-74.4229266,1,16.0
West Atlantic City,39.3784056,-74.4898451,2,19.0
Pleasantville,39.3898388,-74.5240422,5,20.0
Greenwich,39.3899304,-75.338263,31,21.0
Millville,39.4020596,-75.0393438,40,23.0
Bridgeton,39.427337,-75.2340768,8,25.0
South Philadelphia,39.5189753,-74.6589819,1,32.0
Arizona Republic,39.5206733,-74.48570699999999,5,33.0
Buena Vista Township,39.5281098,-74.89626659999999,4,34.0
Atlantic ,39.5333379,-74.6868815,1,36.0
Salem County,39.5848777,-75.3878525,2,40.0
Washington,39.6176517,-74.59302699999999,3,41.0
Hammonton,39.6365056,-74.8023853,3,43.0
South Harrison,39.7001137,-75.2579635,15,50.0
Stafford Township,39.7046713,-74.26327839999999,2,52.0
Gloucester County,39.7103023,-75.1078332,97,53.0
Fernicola,39.72234479999999,-74.2847323,3,54.0
Washington Township,39.7561387,-75.07279559999999,21,57.0
Collingswood County,39.8134872,-75.0747861,1,62.0
Woodbury Heights,39.817058,-75.1551776,4,63.0
Greenwich Township,39.8200838,-75.26186659999999,25,64.0
Laurel Springs,39.8201141,-75.00627879999999,2,65.0
West Deptford,39.8318378,-75.1895576,2,66.0
Camden County,39.8592439,-75.0143824,15,70.0
Camden County,39.8592439,-75.0143824,2,70.0
Camden County,39.8592439,-75.0143824,207,70.0
Barrington,39.8648357,-75.05517139999999,8,71.0
Lacey Township,39.8726184,-74.2951444,12,74.0
Berkeley,39.8952146,-74.1798419,10,78.0
Cherry Hill,39.926813,-75.0246312,36,81.0
South Toms River’s,39.9420625,-74.2043082,1,83.0
Texas,39.9426129,-74.93405589999999,11,84.0
Ocean County’s,39.9652553,-74.3118212,8,87.0
the Ocean County,39.9652553,-74.3118212,2,87.0
New Jersey Superior,39.9652553,-74.3118212,3,87.0
Ocean County,39.9652553,-74.3118212,237,87.0
New Jersey TV,39.9652553,-74.3118212,2,87.0
Lumberton,39.96764820000001,-74.8003877,1,88.0
East Hampton,40.0033813,-74.756468,2,92.0
Willingboro,40.028848,-74.89164579999999,5,95.0
Brick Township,40.0578384,-74.1371832,8,99.0
The United States,40.0583238,-74.4056612,4,100.0
Florida,40.0583238,-74.4056612,22,100.0
Tokyo,40.0583238,-74.4056612,4,100.0
Israel,40.0583238,-74.4056612,31,100.0
Washington RELATED,40.0583238,-74.4056612,1,100.0
3rd Ward,40.0583238,-74.4056612,22,100.0
Blue Jersey,40.0583238,-74.4056612,31,100.0
Kyrillos,40.0583238,-74.4056612,3,100.0
California,40.0583238,-74.4056612,39,100.0
Biden,40.0583238,-74.4056612,8,100.0
the United States of America,40.0583238,-74.4056612,2,100.0
South Dakota,40.0583238,-74.4056612,4,100.0
Kentucky,40.0583238,-74.4056612,7,100.0
the 3rd Ward,40.0583238,-74.4056612,4,100.0
4th Ward,40.0583238,-74.4056612,4,100.0
Baskerville,40.0583238,-74.4056612,2,100.0
Atlanta,40.0583238,-74.4056612,4,100.0
M.D.,40.0583238,-74.4056612,2,100.0
the 1st Ward,40.0583238,-74.4056612,1,100.0
Japan,40.0583238,-74.4056612,12,100.0
Smith,40.0583238,-74.4056612,156,100.0
San Juan,40.0583238,-74.4056612,8,100.0
Jim Beach,40.0583238,-74.4056612,1,100.0
Idaho,40.0583238,-74.4056612,2,100.0
Madden,40.0583238,-74.4056612,4,100.0
La.,40.0583238,-74.4056612,2,100.0
St. Patrick’s Day,40.0583238,-74.4056612,1,100.0
the New Jersey State,40.0583238,-74.4056612,3,100.0
New York Yankees,40.0583238,-74.4056612,1,100.0
New Guinea,40.0583238,-74.4056612,4,100.0
New Jersey House,40.0583238,-74.4056612,12,100.0
Gannett,40.0583238,-74.4056612,8,100.0
Danielle,40.0583238,-74.4056612,3,100.0
North Jersey,40.0583238,-74.4056612,92,100.0
Jasper County,40.0583238,-74.4056612,2,100.0
Korea,40.0583238,-74.4056612,10,100.0
South Carolina Booker,40.0583238,-74.4056612,1,100.0
Langley,40.0583238,-74.4056612,3,100.0
Isle City,40.0583238,-74.4056612,3,100.0
New Hampshire’s,40.0583238,-74.4056612,4,100.0
the Atlantic States,40.0583238,-74.4056612,3,100.0
Grand Rapids,40.0583238,-74.4056612,13,100.0
Weinberg,40.0583238,-74.4056612,24,100.0
Louisiana,40.0583238,-74.4056612,5,100.0
Morey,40.0583238,-74.4056612,11,100.0
New Kennedy,40.0583238,-74.4056612,3,100.0
New Jersey State,40.0583238,-74.4056612,5,100.0
the Capital City,40.0583238,-74.4056612,3,100.0
Nashville,40.0583238,-74.4056612,2,100.0
St. Anselm,40.0583238,-74.4056612,2,100.0
Illinois,40.0583238,-74.4056612,1,100.0
U.S.,40.0583238,-74.4056612,736,100.0
Wilmington,40.0583238,-74.4056612,1,100.0
navigation County,40.0583238,-74.4056612,1,100.0
Cheshire County,40.0583238,-74.4056612,4,100.0
Noemi Velázquez,40.0583238,-74.4056612,7,100.0
Shanksville,40.0583238,-74.4056612,2,100.0
the West Ward,40.0583238,-74.4056612,2,100.0
n’t,40.0583238,-74.4056612,142,100.0
Noemi Velazquez,40.0583238,-74.4056612,1,100.0
Kamala,40.0583238,-74.4056612,2,100.0
America,40.0583238,-74.4056612,126,100.0
Chicago,40.0583238,-74.4056612,1,100.0
New Jersey,40.0583238,-74.4056612,3600,100.0
the United States,40.0583238,-74.4056612,88,100.0
Kreibich,40.0583238,-74.4056612,25,100.0
Savannah Guthrie,40.0583238,-74.4056612,1,100.0
the Second Ward,40.0583238,-74.4056612,2,100.0
New Jerseys,40.0583238,-74.4056612,1,100.0
Goldstein,40.0583238,-74.4056612,2,100.0
Kosovo,40.0583238,-74.4056612,1,100.0
San Francisco,40.0583238,-74.4056612,9,100.0
New York Waterways,40.0583238,-74.4056612,5,100.0
Jr.,40.0583238,-74.4056612,3,100.0
Sr.,40.0583238,-74.4056612,20,100.0
Cozen,40.0583238,-74.4056612,21,100.0
May County’s,40.0583238,-74.4056612,6,100.0
Beijing,40.0583238,-74.4056612,2,100.0
Fabiana,40.0583238,-74.4056612,2,100.0
Garden Staters,40.0583238,-74.4056612,3,100.0
Clear Lake,40.0583238,-74.4056612,4,100.0
Afghanistan,40.0583238,-74.4056612,10,100.0
the New Jersey’s,40.0583238,-74.4056612,2,100.0
Bohen,40.0583238,-74.4056612,2,100.0
New Jersey’s,40.0583238,-74.4056612,1198,100.0
St. Patrick’s,40.0583238,-74.4056612,2,100.0
Kanye West,40.0583238,-74.4056612,1,100.0
India,40.0583238,-74.4056612,10,100.0
Barack Obama,40.0583238,-74.4056612,1,100.0
the United Arab Emirates,40.0583238,-74.4056612,1,100.0
Philadelphia,40.0583238,-74.4056612,35,100.0
Dalina,40.0583238,-74.4056612,2,100.0
Houston,40.0583238,-74.4056612,14,100.0
O’Toole,40.0583238,-74.4056612,2,100.0
Garden State,40.0583238,-74.4056612,5,100.0
County Clerks,40.0583238,-74.4056612,14,100.0
Kilpatrick,40.0583238,-74.4056612,10,100.0
New jersey,40.0583238,-74.4056612,14,100.0
the State of,40.0583238,-74.4056612,13,100.0
Democratic County,40.0583238,-74.4056612,13,100.0
Democrats County,40.0583238,-74.4056612,2,100.0
Cedar Rapids,40.0583238,-74.4056612,2,100.0
Des Moines,40.0583238,-74.4056612,6,100.0
Kaszuba,40.0583238,-74.4056612,14,100.0
United States,40.0583238,-74.4056612,20,100.0
Mo Hill,40.0583238,-74.4056612,14,100.0
the United Kingdom,40.0583238,-74.4056612,2,100.0
New Jersey's,40.0583238,-74.4056612,25,100.0
Iowa,40.0583238,-74.4056612,200,100.0
SALT Cap,40.0583238,-74.4056612,1,100.0
Mass.,40.0583238,-74.4056612,9,100.0
Santa,40.0583238,-74.4056612,4,100.0
the South Carolina,40.0583238,-74.4056612,6,100.0
France,40.0583238,-74.4056612,4,100.0
Canada,40.0583238,-74.4056612,2,100.0
Australia,40.0583238,-74.4056612,6,100.0
Ghana,40.0583238,-74.4056612,10,100.0
Rhode Island,40.0583238,-74.4056612,25,100.0
Boston,40.0583238,-74.4056612,5,100.0
Giblin,40.0583238,-74.4056612,5,100.0
N.J.,40.0583238,-74.4056612,236,100.0
New Direction,40.0583238,-74.4056612,13,100.0
NEW JERSEY,40.0583238,-74.4056612,49,100.0
North Carolina,40.0583238,-74.4056612,27,100.0
USA,40.0583238,-74.4056612,1,100.0
Russo,40.0583238,-74.4056612,4,100.0
Malinowski,40.0583238,-74.4056612,28,100.0
Hollywood,40.0583238,-74.4056612,21,100.0
Massachusetts,40.0583238,-74.4056612,54,100.0
Germany,40.0583238,-74.4056612,52,100.0
Calif.,40.0583238,-74.4056612,2,100.0
Michigan,40.0583238,-74.4056612,22,100.0
Los Angles,40.0583238,-74.4056612,1,100.0
Saudi Arabia,40.0583238,-74.4056612,4,100.0
Glackin,40.0583238,-74.4056612,2,100.0
the Arizona Republic,40.0583238,-74.4056612,8,100.0
Kuwait,40.0583238,-74.4056612,6,100.0
Vietnam,40.0583238,-74.4056612,7,100.0
Mississippi,40.0583238,-74.4056612,7,100.0
Los Angeles,40.0583238,-74.4056612,12,100.0
Kovach,40.0583238,-74.4056612,4,100.0
South Carolina,40.0583238,-74.4056612,65,100.0
North Jersey’s,40.0583238,-74.4056612,3,100.0
Strada,40.0583238,-74.4056612,20,100.0
Virginia,40.0583238,-74.4056612,42,100.0
Welle,40.0583238,-74.4056612,3,100.0
Guide,40.0583238,-74.4056612,1,100.0
D.C.,40.0583238,-74.4056612,18,100.0
District of Columbia,40.0583238,-74.4056612,1,100.0
New Hampshire,40.0583238,-74.4056612,201,100.0
Burlington,40.071222,-74.86488729999999,6,101.0
Spring Lake Heights,40.1505348,-74.0447003,2,108.0
Bradley Beach,40.2023354,-74.0120814,4,114.0
Hamilton Township,40.2115109,-74.6796651,5,117.0
Robbinsville,40.2162036,-74.6195327,2,119.0
Asbury Park,40.2203907,-74.0120817,36,120.0
Loch Arbour,40.2328904,-74.00097029999999,2,122.0
