gpe,latitude,longitude
Blawenburg,40.4076607,-74.7022475
Griggstown,40.4378831,-74.6132128
Montgomery,40.4329141,-74.66346399999999
Orange,40.7706187,-74.2326478
Rocky Hill,40.3998283,-74.6343244
"Washington, DC",40.7584326,-74.9793378
Somerset County,40.5292099,-74.64004320000001
Routes,41.2505145,-74.5728049
Somerville,40.5742696,-74.60987999999999
Hoboken,40.7439905,-74.0323626
Morristown,40.79676670000001,-74.4815438
Lawrence Township,40.2778055,-74.7294313
Sustainable Jersey,40.0583238,-74.4056612
Somerset County’s,40.5292099,-74.64004320000001
Trenton,40.2205824,-74.759717
n’t,40.0583238,-74.4056612
F.I.R.S.T,40.0583238,-74.4056612
Washington,40.7584326,-74.9793378
Montgomery Grove,40.0583238,-74.4056612
Belle Mead,40.4675835,-74.6628114
Donovan,40.0583238,-74.4056612
Bradley Beach,40.2023354,-74.0120814
Princeton,40.3572976,-74.6672226
Raritan,40.5695474,-74.6329363
Line,40.0583238,-74.4056612
Belle,40.4675835,-74.6628114
Bananas,40.8114968,-74.1040834
New Jersey,40.0583238,-74.4056612
Belmar,40.1784471,-74.02180369999999
Puerto Rico,40.0583238,-74.4056612
granola,40.0583238,-74.4056612
McGuire,40.0583238,-74.4056612
NJ,40.0583238,-74.4056612
Montgomery Township,40.4329141,-74.66346399999999
the United States,40.0583238,-74.4056612
Canada,40.0583238,-74.4056612
Boston,40.0583238,-74.4056612
Sandwich,40.0583238,-74.4056612
MA,40.0583238,-74.4056612
Venice,40.0583238,-74.4056612
Landsdowne,40.0583238,-74.4056612
PA,40.0583238,-74.4056612
Naperville,40.0583238,-74.4056612
Sr.,40.0583238,-74.4056612
P.C.,40.8524548,-73.9943284
Milton,40.4562164,-74.4432073
Topsfield,40.0583238,-74.4056612
Owensboro,40.0583238,-74.4056612
Hinsdale,41.0025975,-74.0404175
Benvenuto,40.0583238,-74.4056612
Oakland,41.0131529,-74.26431430000001
Santa Monica,40.0583238,-74.4056612
Missoula,40.0583238,-74.4056612
MT,40.2859203,-74.348582
Berkeley,39.8952146,-74.1798419
Albany,40.001501,-74.9712804
Dawson,40.0583238,-74.4056612
North Brunswick,40.4525163,-74.4766712
Kansas,40.0583238,-74.4056612
the Emerald City,40.0583238,-74.4056612
Hightstown,40.2695538,-74.5232089
Harlingen,40.4475,-74.662778
Philadelphia,40.0583238,-74.4056612
Anthony,40.7484331,-74.88127879999999
Bridesburg,40.0583238,-74.4056612
Levittown,40.028848,-74.89164579999999
Beverly Ellen,40.06538889999999,-74.9190558
NC,40.0583238,-74.4056612
Cary,40.0583238,-74.4056612
Ireland,40.0583238,-74.4056612
