Location,Latitude,Longitude,Count
Camden,39.9259463,-75.1196199,3199
Atlantic City’s,39.3642834,-74.4229266,58
New Jersey,40.0583238,-74.4056612,3600
America,40.0583238,-74.4056612,126
Middletown,40.3927801,-74.09981789999999,22
Bogota,40.8762106,-74.0298621,45
Monmouth County,40.2589455,-74.12399599999999,190
Monmouth,40.2589455,-74.12399599999999,116
the United States,40.0583238,-74.4056612,88
Bramnick,40.0583238,-74.4056612,557
Coughlin,40.0583238,-74.4056612,206
Memoriam,40.0583238,-74.4056612,410
Kreibich,40.0583238,-74.4056612,25
Schmid,40.0583238,-74.4056612,173
Linden,40.6220478,-74.24459019999999,87
Quattrocchi,40.0583238,-74.4056612,12
U.S.,40.0583238,-74.4056612,736
Hunterdon County,40.56695149999999,-74.92087719999999,152
Hudson County,40.7453199,-74.05351259999999,159
n’t,40.0583238,-74.4056612,142
Mercer County,40.3028533,-74.7337069,66
New York,None,None,104
Essex County,40.7947466,-74.2648829,220
Newark,40.735657,-74.1723667,307
South Jersey,39.3583238,-74.43744099999999,571
Cumberland County,39.2587106,-75.06111469999999,202
Verrelli,40.0583238,-74.4056612,6
New Jersey’s,40.0583238,-74.4056612,1198
’s,40.0583238,-74.4056612,27
Bergen County,40.9262762,-74.07701,405
Morris County,40.8336038,-74.54632819999999,342
Dover,40.883988,-74.5621025,266
Atlantic County,39.5333379,-74.6868815,342
settle county,40.8948212,-74.4329314,1
Cumberland,39.369328,-74.942352,71
Atlantic City,39.3642834,-74.4229266,592
Margate,39.327894,-74.50348579999999,1
Elmwood Park,40.9039878,-74.118476,7
Utah,40.0583238,-74.4056612,17
Burlington County,39.8558488,-74.6868815,141
Wrightstown,40.0362241,-74.6179344,9
Lucas,40.0583238,-74.4056612,9
Gibbs,40.0583238,-74.4056612,111
NRA,40.0583238,-74.4056612,100
Conaway,40.0583238,-74.4056612,8
Moorestown,39.9688817,-74.948886,8
NJ,40.0583238,-74.4056612,67
Chesterfield,40.1219081,-74.651754,14
Willingboro,40.028848,-74.89164579999999,5
Howarth,40.9609315,-73.9901383,4
Evesham,39.8522951,-74.88579890000001,4
Howarth ICE,40.9609315,-73.9901383,3
Hainesport,39.9837234,-74.82710809999999,52
Gloucester City,39.8917799,-75.1162863,20
Camden County,39.8592439,-75.0143824,207
Ocean County,39.9652553,-74.3118212,237
Ambrosino,None,None,16
Cherry Hill,39.926813,-75.0246312,36
Sr.,40.0583238,-74.4056612,20
Morey,40.0583238,-74.4056612,11
May County,40.8948212,-74.4329314,23
Wildwood,38.9917797,-74.8148894,44
Cape May County,39.105884,-74.8273184,86
Ocean City,39.2776156,-74.5746001,83
Cape May,38.9351125,-74.90600529999999,86
Cape May County’s,39.105884,-74.8273184,11
Taliaferro,40.0583238,-74.4056612,31
3rd district,40.0164715,-74.6868815,34
Vineland,39.4863773,-75.02596369999999,34
Iraq,40.0583238,-74.4056612,18
Flint,40.0583238,-74.4056612,8
Pittsburgh,40.0583238,-74.4056612,10
San Juan,40.0583238,-74.4056612,8
Essex County Freeholder,40.7947466,-74.2648829,19
Essex County Legends Way,40.7947466,-74.2648829,7
Bloomfield,40.8067546,-74.1854209,13
Irvington,40.7263249,-74.22864349999999,79
Smith,40.0583238,-74.4056612,156
the City of Newark,40.735657,-74.1723667,6
Zoo,40.0583238,-74.4056612,9
Clayton,39.6601148,-75.0921197,12
Japan,40.0583238,-74.4056612,12
Parisi,40.0583238,-74.4056612,10
Gloucester County,39.7103023,-75.1078332,97
Jersey,40.7177545,-74.0431435,40
Florida,40.0583238,-74.4056612,22
Salem,39.5717796,-75.46714229999999,324
Greenwich,39.3899304,-75.338263,31
Greenwich Township,39.8200838,-75.26186659999999,25
Essex,40.7947466,-74.2648829,28
Monroe Township,40.336419,-74.43304739999999,14
Camden City,39.9259463,-75.1196199,5
Hoboken,40.7439905,-74.0323626,71
Jersey City,40.7177545,-74.0431435,332
Jersey City’s,40.7177545,-74.0431435,10
Trenton,40.2205824,-74.759717,460
Madrid,None,None,14
Caliguire,40.0583238,-74.4056612,17
Somerset County,40.5292099,-74.64004320000001,202
Delaware,40.4307258,-74.9442585,16
County,40.8948212,-74.4329314,21
California,40.0583238,-74.4056612,39
Trenton City,40.2205824,-74.759717,4
