"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"15, 2",201,"Bergen County/ Urban (46), Suburban (20), Rural (0)",Bergen County,Urban,http://www.201magazine.com/#201magazine,8,5,Gannett,1,2,2,9,,,
"15, 2, 1, 5","(Rutgers-Newark) Observer, The",Newark,Newark,Urban,https://theobservernewark.com/news,2,1,Rutgers University-Newark ,1,2,2,9,,,
"18, 2",07030 Hoboken,Hoboken,Hoboken,Urban,https://hudsonreporter.com/category/issues/07030-hoboken-issue/,5,5,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"5, 15, 12, 1, 16, 2",24 horas,Newark,Newark,Urban,https://24horasnewspaper.com/,1,1,Independently owned,6 (Portuguese),1,2,9,,,
9,AC Primetime,Atlantic City,Atlantic City,Urban,https://acprimetime.com/atlantic-city-primetime-news/,7,4,Downbeach Digital News Network,1,2,2,9,cannot find location or contact info for owner/ email sent 1/27/2020,,
"2, 15, 19, 1, 12",Advertiser News-North,"Vernon Township (rural), Sussex (rural), Wantage Township (rural)","Vernon Township, Sussex, Wantage Township",Rural,http://advertisernewsnorth.com,6,1,Straus News,1,2,2,9,,,
"2, 15, 19, 1",Advertiser News-South,"Hamburg (rural),
Franklin borough (rural), Lafayette Township (rural),
Ogdensburg (rural)","Hamburg, Franklin borough, Lafayette Township, Ogdensburg",Rural,http://advertisernewssouth.com,6,1,Straus News,1,2,2,9,,,
"16, 2","African Sun Times, The",9,9,9,http://africansuntimes.com/,7,4,Independently owned,1,1,2,9,,,
16,AfroPhilly,"Cherry Hill (Suburban), Camden (Urban), Hillside (Urban)","Cherry Hill, Camden, Hillside",Urban,http://www.afrophilly.com/,6,4,NBG Network,1,1,2,9,,,
"2, 5, 16, 12",Ahora News,9,9,9,http://www.ahoranews.net,6,1,"Puerto Rican Congress of NJ, Inc.",2,1,2,9,,,
"16, 2",Al Día,9,9,9,http://aldianews.com,2,5,Independently owned (Al Dia News Media/Herman Guaracao),7 (1 & 2),1,2,1,,,
2,All Around Pennsauken,Pennsauken,Pennsauken,Urban,http://allaroundpennsauken.com,4,1,Independently owned,1,2,2,9,,,
16,Amandla,9,9,9,http://amandlanews.com,4,1,Independently owned (Amandla Company),1,1,2,9,,,
"5, 2","Amboy Guardian, The","Perth Amboy (Urban), South Amboy (Urban)","Perth Amboy, South Amboy",Urban,http://www.amboyguardian.com/,6,4,Independently owned (Amboy Guardian LLC),1,2,2,9,,,
"5, 1, 16, 2, 11,12, 2",America Oggi,9,9,9,https://www.americaoggi.us/,1,4,Gruppo Editoriale Oggi,6 (Italian),1,2,9,wrong URL changed to correct URL 1/27/2020 ,,
"16, 2",Americano,9,9,9,https://americanonewspaper.com/,"4, 6",5,Independently owned,"1, 2",1,2,9,,,
16,Amerikai Népszava,9,9,9,https://nepszava.us,1,4,"Independently owned (Olivia Media and Publishing Corporation, Laszlo Bartus)","7 (1, 6 (Hungarian))",1,2,9,,,
16,Anointed News Journal,Camden,Camden,Urban,http://www.anointedonline.net/,2,1,Independently owned,1,1,2,9,,,
16,Arab Astoria,9,9,9,9,4,1,Independently owned,3,1,2,1,,,
"2, 16",Arab Voice,Paterson,Paterson,Urban,http://arabvoice.com/,2,1,Independently owned,3,1,2,9,,,
"2, 1","Argo, The ",Galloway,Galloway,Rural,http://www.stocktonargo.com,2,1,Stockton College,1,2,2,9,,,
"5, 15, 19, 2, 1, 11, 12",Asbury Park Press,"Red Bank (Urban) , Middletown (Suburban), Eatontown (Suburban), Asbury Park (Urban), Jackson (Suburban), Lakewood (Suburban)","Red Bank, Middletown, Eatontown, Asbury Park, Jackson, Lakewood",Suburban,http://www.app.com/,1,1,Gannett,1,2,2,9,,,
"5, 2",Asbury Park Sun,"Asbury Park (Urban), Allenhurst (Suburban), Interlaken (Subunrban), Loch Arbour (Subunrban), Ocean Grove (Suburban), Wanamassa (Suburban) ","Asbury Park, Allenhurst, Interlaken, Loch Arbour, Ocean Grove, Wanamassa ",Suburban,http://asburyparksun.com/,6,4,triCityNews,1,2,2,9,,,
16,Asian Journal,9,9,9,http://asianjournal.com,2,1,Asian Journal Media Group,1,1,2,9,,,
"5, 1",Atlantic Cape Review,"Mays Landing (Rural), Hamilton Township (Rural), Egg Harbor City (Rural), Galloway (Rural), Pomona (Rural), Egg Harbor Township (Rural)","Mays Landing, Hamilton Township, Egg Harbor City, Galloway, Pomona, Egg Harbor Township",Rural,9,4,1,Atlantic Cape Community College,1,1,9,9,http://www.atlantic.edu/studentServ/newspaper.htm; Yes to ethnic community because college population is very diverse,,
"5, 19, 2, 1",Atlantic County Record,Mays Landing,Mays Landing,Rural,9,2,1,Gannett,1,2,9,9,,,
"15, 12",Atlantic Highlands Herald,"Monmouth County/ Urban (3), Suburban (39), Rural (6)",Monmouth County,Suburban,http://www.ahherald.com/,2,4,Independently owned,1,2,2,9,calls itself 'nation's first online newspaper'/,,
"18, 2, 1, 15, 5, 12","Atlantic Hub, The","Little Silver (Suburban), Red Bank (Urban) , Rumson/Sea Bright (Suburban) , Shrewsbury (Suburban), Tinton Falls (Suburban), Eatontown (Rural) , Monmouth Beach (Suburban), West Long Beach (Suburban)","Little Silver, Red Bank, Rumson/Sea Bright, Shrewsbury, Tinton Falls, Eatontown, Monmouth Beach, West Long Beach",Suburban,https://centraljersey.com/atlantic-hub/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"16, 2",Balitang America (ABS-CBN News),9,9,9,https://balitangamerica.tv/,1,2,Independently owned (ABS-CNB International),1,1,2,1,,,
"16, 2",Bangla Patrika,9,9,9,http://www.banglapatrikausa.com/,2,1,Independently owned,6 (Bengali),1,2,9,,,
"5, 15, 13, 2",Baristanet,"Montclair (Urban), Glen Ridge (Urban), Bloomfield (Urban)","Montclair, Glen Ridge, Bloomfield",Urban,https://baristanet.com,1,4,Independently owned,1,2,2,9,Watch in content analysis whether more towns are covered than presented on outlet website 2/10/2020,,
2,"Barnegat Leader, The",Barnegat,Barnegat,Rural,9,4,1,The SandPaper Inc.,1,2,2,9,,,
18,"Bayonne, Life on the Peninsula","Hudson County (Urban, 12) ",Hudson County,Urban,https://hudsonreporter.com/category/issues/bayonne-life-on-the-peninsula-issue/,5,5,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
