File Name,After removing articles based on URL condition,"After removing articles ending in ""...""",After removing articles not meeting minimum word requirement,After removing exceptions and blanks,After removing extra line breaks and multiple spaces,After removing typical junk texts
0_rennamedia.com_publications_berkeley-heights-community-news_.csv,2,1,1,2,2,1
100_patch.com_new-jersey_oceancity.csv,469,446,210,470,469,450
101_patch.com_new-jersey_pointpleasant.csv,488,474,238,496,488,480
101_www.icnradio.com_.csv,0,0,0,0,0,0
102_patch.com_new-jersey_ramsey-nj.csv,379,370,150,384,379,374
103_patch.com_new-jersey_randolph.csv,260,252,83,268,260,254
103_www.italiantribune.com_.csv,2,2,0,2,2,2
104_patch.com_new-jersey_redbank.csv,378,369,153,386,378,373
104_www.jerseyvoices.com.csv,140,140,27,149,140,140
105_patch.com_new-jersey_riverdell.csv,341,332,137,344,341,337
106_patch.com_new-jersey_scotchplains.csv,527,512,193,528,527,517
107_patch.com_new-jersey_secaucus.csv,267,259,120,267,267,261
107_www.koreadailyus.com_.csv,96,66,48,97,96,96
108_patch.com_new-jersey_southbrunswick.csv,447,441,198,451,447,443
109_patch.com_new-jersey_southorange.csv,345,335,114,348,345,339
109_www.lavocedinewyork.com_en_.csv,167,165,156,167,167,167
10_asianjournal.com.csv,1,1,0,1,1,1
10_rennamedia.com_publications_mountainside-view_.csv,2,1,1,2,2,1
110_patch.com_new-jersey_summit.csv,622,605,278,629,622,612
111_patch.com_new-jersey_tomsriver.csv,627,613,251,639,627,618
112_patch.com_new-jersey_triboro.csv,293,284,120,301,293,289
112_www.lunj.net.csv,5,5,0,5,5,5
113_patch.com_new-jersey_verona.csv,430,421,116,438,430,427
113_www.lusoamericano.com.csv,8,8,0,8,8,8
114_patch.com_new-jersey_wall.csv,284,275,128,291,284,279
115_patch.com_new-jersey_watchung-greenbrook.csv,320,313,120,323,320,317
115_www.mcccvoice.org_.csv,133,108,54,138,133,133
116_patch.com_new-jersey_west-windsor.csv,248,239,85,252,248,245
117_patch.com_new-jersey_westdeptford.csv,378,374,209,381,378,376
118_patch.com_new-jersey_westorange.csv,442,427,183,446,442,428
118_www.moremonmouthmusings.net_.csv,0,0,0,0,0,0
119_patch.com_new-jersey_westwood-hillsdale.csv,389,377,147,394,389,384
11_brick.shorebeat.com.csv,249,235,179,253,249,249
11_rennamedia.com_publications_new-providence-news_.csv,2,2,0,2,2,2
120_medium.com_the-mantua-sun.csv,22,22,12,22,22,22
120_www.my9nj.com.csv,35,35,9,39,35,35
121_medium.com_the-williamstown-sun.csv,21,21,15,21,21,21
122_hudsonreporter.com_category_issues_07030-hoboken-issue_.csv,0,0,0,0,0,0
122_www.new-new.com_about.asp.csv,0,0,0,1,0,0
123_hudsonreporter.com_category_issues_bayonne-life-on-the-peninsula-issue_.csv,0,0,0,0,0,0
123_www.newarkblack.com.csv,1,1,0,1,1,1
124_hudsonreporter.com_category_issues_jersey-city-magazine-issue_.csv,0,0,0,0,0,0
125_dailyvoice.com_new-jersey_bergenfield.csv,932,895,426,934,932,897
125_www.newsindiatimes.com.csv,1,1,1,1,1,1
126_dailyvoice.com_new-jersey_cliffsidepark_.csv,1948,1916,1017,1950,1948,1917
127_dailyvoice.com_new-jersey_cresskill.csv,685,656,298,687,685,656
128_dailyvoice.com_new-jersey_englewood.csv,667,640,305,669,667,640
129_dailyvoice.com_new-jersey_fairlawn.csv,738,706,330,740,738,706
12_rennamedia.com_publications_our-town-rahway_.csv,2,1,1,2,2,1
