Location,Latitude,Longitude,Count,group_id
Cape May,38.9351125,-74.90600529999999,86,0.0
Cape May City,38.9351125,-74.90600529999999,4,0.0
Lower Township,38.9738981,-74.925345,25,1.0
Wildwood,38.9917797,-74.8148894,44,2.0
North Wildwood,39.0006686,-74.79933299999999,1,3.0
West Wildwood,39.0023352,-74.82433429999999,1,4.0
Cape May County,39.105884,-74.8273184,86,5.0
Cape May County Freeholders,39.105884,-74.8273184,2,5.0
Cape May County’s,39.105884,-74.8273184,11,5.0
Middle Township,39.1201616,-74.8451915,6,6.0
Sea Isle City,39.1534477,-74.6929387,2,7.0
Dennis Oury,39.1958623,-74.8156199,1,8.0
Dennis,39.1958623,-74.8156199,1,8.0
Cumberland County,39.2587106,-75.06111469999999,202,9.0
Cumberland County’s,39.2587106,-75.06111469999999,4,9.0
Cumberland County Surrogate,39.2587106,-75.06111469999999,4,9.0
the Cumberland County Democratic,39.2587106,-75.06111469999999,7,9.0
Ocean City’s,39.2776156,-74.5746001,5,10.0
Ocean City,39.2776156,-74.5746001,83,10.0
Margate,39.327894,-74.50348579999999,1,11.0
Ventnor,39.3403942,-74.4773735,4,12.0
South Jersey’s,39.3583238,-74.43744099999999,16,13.0
South Jersey Dems,39.3583238,-74.43744099999999,2,13.0
South Jersey,39.3583238,-74.43744099999999,571,13.0
the Atlantic City Beach Patrol,39.36347070000001,-74.4284303,2,14.0
Atlantic County Superior Court,39.3640173,-74.4265692,1,15.0
Kennedy Atlantic City,39.3642834,-74.4229266,1,16.0
Atlantic City’s,39.3642834,-74.4229266,58,16.0
Atlantic City Cunningham,39.3642834,-74.4229266,1,16.0
Tagged Atlantic City,39.3642834,-74.4229266,1,16.0
New Atlantic City,39.3642834,-74.4229266,11,16.0
Atlantic City Appeals,39.3642834,-74.4229266,1,16.0
the Atlantic City Democratic Committee,39.3642834,-74.4229266,2,16.0
Atlantic City,39.3642834,-74.4229266,592,16.0
the Atlantic City Democratic Organization,39.3642834,-74.4229266,2,16.0
Atlantic City Councilman,39.3642834,-74.4229266,2,16.0
the City of Atlantic City,39.3642834,-74.4229266,10,16.0
Atlantic City Follow,39.3642834,-74.4229266,1,16.0
Atlantic City Leave,39.3642834,-74.4229266,1,16.0
The Atlantic City Democratic Committee,39.3642834,-74.4229266,5,16.0
Atlantic City Dems,39.3642834,-74.4229266,5,16.0
Atlantic City Atlantic City,39.3642834,-74.4229266,2,16.0
Cumberland,39.369328,-74.942352,71,17.0
the Atlantic County Democratic,39.3706171,-74.5584535,1,18.0
West Atlantic City,39.3784056,-74.4898451,2,19.0
Pleasantville,39.3898388,-74.5240422,5,20.0
Greenwich,39.3899304,-75.338263,31,21.0
Greenwich Follow,39.3899304,-75.338263,1,21.0
NJ-2,39.3964336,-74.8741045,18,22.0
2nd District,39.3964336,-74.8741045,3,22.0
Millville,39.4020596,-75.0393438,40,23.0
47%-31%,39.4256956,-75.0398151,2,24.0
Bridgeton,39.427337,-75.2340768,8,25.0
Absecon,39.4284503,-74.4957076,4,26.0
The Atlantic County Democratic Committee,39.4381638,-74.5180335,2,27.0
Atlantic County Surrogate,39.4518598,-74.7263069,4,28.0
56%-42,39.483272,-75.1283107,13,29.0
the City of Vineland,39.4863773,-75.02596369999999,2,30.0
Vineland,39.4863773,-75.02596369999999,34,30.0
Galloway Township,39.4928235,-74.5596879,2,31.0
Galloway,39.4928235,-74.5596879,2,31.0
South Philadelphia,39.5189753,-74.6589819,1,32.0
Arizona Republic,39.5206733,-74.48570699999999,5,33.0
Buena Vista Township,39.5281098,-74.89626659999999,4,34.0
Buena,39.5314776,-74.9384135,2,35.0
Tagged Atlantic County Young,39.5333379,-74.6868815,1,36.0
Atlantic Dicht,39.5333379,-74.6868815,1,36.0
Atlantic County Challengers,39.5333379,-74.6868815,1,36.0
the Atlantic County,39.5333379,-74.6868815,5,36.0
Atlantic States,39.5333379,-74.6868815,2,36.0
Atlantic County Leave,39.5333379,-74.6868815,2,36.0
The Atlantic County,39.5333379,-74.6868815,3,36.0
Tagged Atlantic County,39.5333379,-74.6868815,1,36.0
Atlantic County Young,39.5333379,-74.6868815,18,36.0
Atlantic County Freeholder,39.5333379,-74.6868815,28,36.0
Atlantic County Sheriff Frank X. Balles,39.5333379,-74.6868815,7,36.0
Atlantic County Sheriff,39.5333379,-74.6868815,8,36.0
Atlantic County,39.5333379,-74.6868815,342,36.0
Atlantic County Clerk,39.5333379,-74.6868815,2,36.0
Atlantic County Superintendent,39.5333379,-74.6868815,2,36.0
Atlantic County Atlantic County Chair,39.5333379,-74.6868815,2,36.0
40%-53%,39.552313,-74.9925517,2,37.0
51%-40,39.552313,-74.9925517,1,37.0
Harrison Salem,39.5717796,-75.46714229999999,4,38.0
Salem,39.5717796,-75.46714229999999,324,38.0
Mullica,39.576782,-74.716629,1,39.0
County Salem County,39.5848777,-75.3878525,2,40.0
Salem County,39.5848777,-75.3878525,49,40.0
Washington DC,39.6176517,-74.59302699999999,3,41.0
"Washington, D.C",39.6176517,-74.59302699999999,1,41.0
"Washington, DC",39.6176517,-74.59302699999999,22,41.0
Atlantic County Freeholder Frank Formica Atlantic County Freeholder Board,39.6191714,-74.78664239999999,1,42.0
Hammonton,39.6365056,-74.8023853,3,43.0
Applefield,39.6429252,-74.7766449,2,44.0
Clayton,39.6601148,-75.0921197,12,45.0
Aura,39.67320429999999,-75.1378842,7,46.0
Brooklyn,39.69317119999999,-74.9426662,1,47.0
Addiego,39.6985409,-74.26532019999999,7,48.0
55%-45,39.6995607,-75.2718462,3,49.0
South Harrison,39.7001137,-75.2579635,15,50.0
Rowan,39.70289229999999,-75.1118422,26,51.0
Glassboro,39.70289229999999,-75.1118422,3,51.0
Stafford Township,39.7046713,-74.26327839999999,2,52.0
Gloucester County,39.7103023,-75.1078332,97,53.0
Fernicola,39.72234479999999,-74.2847323,3,54.0
Pitman,39.732892,-75.1315651,1,55.0
Woolwich,39.737154,-75.30962889999999,21,56.0
Washington Township,39.7561387,-75.07279559999999,21,57.0
51%-42%,39.7786168,-75.0486646,3,58.0
43%-42%,39.7786168,-75.0486646,2,58.0
Camden County Surrogate,39.7860987,-75.06927929999999,4,59.0
Berlin,39.7912261,-74.9290536,2,60.0
Verlina,39.7912261,-74.9290536,7,60.0
Gloucester,39.8026495,-75.0536407,27,61.0
Gloucester Township,39.8026495,-75.0536407,2,61.0
Collingswood County,39.8134872,-75.0747861,1,62.0
Woodbury Heights,39.817058,-75.1551776,4,63.0
Greenwich Township,39.8200838,-75.26186659999999,25,64.0
Laurel Springs,39.8201141,-75.00627879999999,2,65.0
West Deptford,39.8318378,-75.1895576,2,66.0
Woodbury,39.83816909999999,-75.1526774,2,67.0
Evesham,39.8522951,-74.88579890000001,4,68.0
Burlington County,39.8558488,-74.6868815,141,69.0
Burlington County State,39.8558488,-74.6868815,2,69.0
Burlco,39.8558488,-74.6868815,2,69.0
Burlington County’s,39.8558488,-74.6868815,10,69.0
the Camden County Democratic,39.8592439,-75.0143824,21,70.0
Camden County Freeholder,39.8592439,-75.0143824,1,70.0
the Camden County Democratic Committee,39.8592439,-75.0143824,1,70.0
Camden County’s,39.8592439,-75.0143824,15,70.0
Camden County Camden County,39.8592439,-75.0143824,2,70.0
Camden County,39.8592439,-75.0143824,207,70.0
Barrington,39.8648357,-75.05517139999999,8,71.0
Medford,39.86618259999999,-74.8390162,17,72.0
Bellmawr,39.8676134,-75.0946182,1,73.0
Lacey Township,39.8726184,-74.2951444,12,74.0
Lacey Township David Richter,39.8726184,-74.2951444,1,74.0
Lacey Township Follow,39.8726184,-74.2951444,1,74.0
Lacey Township - New Jersey Globe,39.8726184,-74.2951444,2,74.0
Marlton,39.8912248,-74.9218324,2,75.0
Haddonfield,39.8915022,-75.03767069999999,2,76.0
Gloucester city,39.8917799,-75.1162863,2,77.0
Gloucester City,39.8917799,-75.1162863,20,77.0
Berkeley,39.8952146,-74.1798419,10,78.0
Berkeley Township,39.8952146,-74.1798419,16,78.0
Collingswood,39.9181686,-75.07128399999999,6,79.0
Camden City,39.9259463,-75.1196199,5,80.0
Camden Democratic,39.9259463,-75.1196199,3,80.0
Camden Development Zone,39.9259463,-75.1196199,1,80.0
Camden,39.9259463,-75.1196199,3199,80.0
Cherry Hill,39.926813,-75.0246312,36,81.0
Mount,39.934002,-74.89099879999999,4,82.0
South Toms River’s,39.9420625,-74.2043082,1,83.0
Texas,39.9426129,-74.93405589999999,11,84.0
Ocean County Surrogate,39.9531196,-74.1952026,2,85.0
Pennsauken,39.9562052,-75.058009,18,86.0
New Jersey Follow,39.9652553,-74.3118212,2,87.0
Ocean County’s,39.9652553,-74.3118212,8,87.0
the Ocean County,39.9652553,-74.3118212,2,87.0
NJ-04,39.9652553,-74.3118212,4,87.0
New Jersey Working Families,39.9652553,-74.3118212,2,87.0
New Jersey Superior,39.9652553,-74.3118212,3,87.0
4th district,39.9652553,-74.3118212,1,87.0
Ocean County,39.9652553,-74.3118212,237,87.0
New Jersey TV,39.9652553,-74.3118212,2,87.0
NEw JErsey voters,39.9652553,-74.3118212,2,87.0
Lumberton Township Committeewoman,39.96764820000001,-74.8003877,1,88.0
Lumberton Township,39.96764820000001,-74.8003877,3,88.0
Lumberton,39.96764820000001,-74.8003877,27,88.0
Moorestown,39.9688817,-74.948886,8,89.0
Manchester,39.9711696,-74.33928209999999,2,90.0
Manchester Township,39.9711696,-74.33928209999999,2,90.0
Hainesport,39.9837234,-74.82710809999999,52,91.0
East Hampton,40.0033813,-74.756468,2,92.0
Delran,40.0158918,-74.9564247,2,93.0
3rd district,40.0164715,-74.6868815,34,94.0
Willingboro,40.028848,-74.89164579999999,5,95.0
McGuire,40.0351776,-74.5844061,1,96.0
Wrightstown,40.0362241,-74.6179344,9,97.0
Charleston,40.0386631,-74.89198979999999,3,98.0
the Brick Township Republican Club,40.0578384,-74.1371832,14,99.0
Brick Township,40.0578384,-74.1371832,8,99.0
Brick,40.0578384,-74.1371832,7,99.0
Voss,40.0583238,-74.4056612,2,100.0
Hache,40.0583238,-74.4056612,2,100.0
Maura,40.0583238,-74.4056612,1,100.0
Presidential,40.0583238,-74.4056612,1,100.0
